metric,value
all_oos_rows_before_filter,12951
rows_with_usable_30m_and_same_day_minutes,9217
usable_row_pct,71.16824955601884
val_rows,4368
test_rows,4849
stop_checkpoint_min,30
stop_threshold_pct,-1.0
selected_candidate,none
val_baseline_mean_ret_pct,0.35182852655677654
val_strategy_mean_ret_pct,0.35182852655677654
val_delta_mean_ret_pct,0.0
test_baseline_mean_ret_pct,0.5074602111775623
test_strategy_mean_ret_pct,0.5074602111775623
test_delta_mean_ret_pct,0.0
test_n_flagged,1030
test_flag_rate_pct,21.241493091359043
test_n_reentered,0
test_reentry_rate_among_flagged_pct,
missing_or_unusable_rows,3734
