metric,value
all_oos_rows_before_cache_filter,12951
rows_with_cached_entry_day_minutes,12157
cached_row_pct,93.86919928963015
val_rows_cached,6060
test_rows_cached,6097
selected_signal,none
selected_threshold_pct,
val_baseline_mean_ret_pct,0.37267034389438936
val_strategy_mean_ret_pct,0.37267034389438936
val_delta_mean_ret_pct,0.0
test_baseline_mean_ret_pct,0.49745696703296705
test_strategy_mean_ret_pct,0.49745696703296705
test_delta_mean_ret_pct,0.0
test_n_flagged,0
test_flag_rate_pct,0.0
test_loser_precision_pct,
test_loser_recall_pct,
missing_cache_rows,794
