segment,k
Biotech_large_high,0.25
Biotech_large_low,3.0
Biotech_micro_high,0.25
Biotech_micro_low,0.75
Biotech_small_high,0.25
Biotech_small_low,0.5
Finance_large_high,0.25
Finance_large_low,0.25
Finance_micro_high,0.25
Finance_micro_low,0.25
Finance_small_high,0.25
Finance_small_low,0.75
Other_large_high,0.25
Other_large_low,0.25
Other_micro_high,0.25
Other_micro_low,0.25
Other_small_high,0.25
Other_small_low,0.5
Tech_large_high,0.25
Tech_large_low,0.25
Tech_micro_high,0.25
Tech_micro_low,0.25
Tech_small_high,0.5
Tech_small_low,0.25
