metric,value
path_horizon,through_exit
analysis_scope,test_only
test_subset_tune_fraction,0.5
min_decile_score,0.8
analysis_rows_before_filter,6475
analysis_rows_after_filter,1584
rows_with_usable_same_day_minutes,1527
usable_row_pct,96.40151515151516
val_rows,786
test_rows,741
candidate_count,60
selected_candidate,none
val_baseline_mean_ret_pct,1.2549369312977097
val_strategy_mean_ret_pct,1.2549369312977097
val_delta_mean_ret_pct,0.0
test_baseline_mean_ret_pct,1.254448620782726
test_strategy_mean_ret_pct,1.254448620782726
test_delta_mean_ret_pct,0.0
test_n_stopped,0
test_stop_rate_pct,0.0
test_n_reentered,0
test_reentry_rate_among_stopped_pct,
missing_or_unusable_rows,57
