bucket,scenario_vs_next_day_close,shared_n,mean_delta_pct
intraday,second_day_close,55,0.36746122460214176
intraday,next_day_14_00,51,-1.3287617010883508
intraday,same_day_14_00,41,-1.9742628823046933
intraday,same_day_15_00,42,-1.9781482390044633
intraday,next_day_10_30,54,-2.138159423428609
intraday,next_day_15_30,46,-2.2526914643426332
intraday,next_day_open,55,-2.310858663064484
intraday,next_day_12_00,53,-2.737759759783424
intraday,same_day_15_30,43,-3.1538968863159553
intraday,same_day_close,55,-3.7663189644631556
post_market_or_weekend,next_day_12_00,333,0.10323197254725847
post_market_or_weekend,next_day_open,339,0.036105622170693775
post_market_or_weekend,next_day_14_00,321,-0.0855241775073129
post_market_or_weekend,next_day_15_30,306,-0.2668232431239444
post_market_or_weekend,next_day_10_30,334,-0.27531902343895415
post_market_or_weekend,second_day_close,337,-0.2841429322243471
post_market_or_weekend,same_day_14_00,323,-1.3629285944294267
post_market_or_weekend,same_day_15_00,319,-1.3740879797734176
post_market_or_weekend,same_day_close,339,-1.3951705352659862
post_market_or_weekend,same_day_15_30,304,-1.4781360753915023
pre_market,second_day_close,82,1.4962231410089097
pre_market,next_day_14_00,80,0.2594498317779169
pre_market,same_day_close,83,0.03110876166005461
pre_market,next_day_15_30,79,0.00971581795110039
pre_market,next_day_10_30,83,-0.004997213523560459
pre_market,same_day_14_00,83,-0.1370073134837442
pre_market,same_day_15_00,81,-0.24560356743879513
pre_market,next_day_12_00,83,-0.3136483435310719
pre_market,same_day_15_30,80,-0.3455546266325521
pre_market,next_day_open,83,-1.0034969592137095
