scenario_vs_next_day_close,shared_n,mean_delta,ci95_low,ci95_high,z_stat_approx,p_value_approx
same_day_14_00,447,-1.191369846072367,-2.0315787768331646,-0.35116091531156957,-2.7791717188574188,0.005449770730287851
same_day_15_00,442,-1.2246836663992082,-2.065237301982943,-0.3841300308154735,-2.855713049739496,0.004294030271636773
same_day_15_30,427,-1.4346962603306956,-2.2783834664227247,-0.5910090542386665,-3.332994325318038,0.0008591669473081431
same_day_close,477,-1.4203948161066215,-2.312172146253997,-0.5286174859592462,-3.12182620644651,0.0017973300618985277
next_day_open,477,-0.4154039164935417,-1.3210385819914503,0.4902307490043668,-0.8990288328679509,0.368637303042302
next_day_10_30,471,-0.4412567545991743,-1.0685579966524361,0.18604448745408747,-1.3787048088467666,0.16798578623581228
next_day_12_00,469,-0.2915945264890477,-0.9075467799923758,0.32435772701428034,-0.9278726860205334,0.35347361433550706
next_day_14_00,452,-0.16474363095822997,-0.5876427640517707,0.25815550213531085,-0.7635331723574595,0.4451454867752205
next_day_15_30,431,-0.4280839214328336,-0.8066928163448192,-0.04947502652084801,-2.2161246005681003,0.026682969870764017
second_day_close,474,0.09946096362076673,-0.6253921545707775,0.8243140818123109,0.26894205709299096,0.7879742719747438
