metric,value
min_decile_score,0.9
all_oos_rows_before_filter,12951
oos_rows_after_filter,1720
rows_with_usable_same_day_minutes,1601
usable_row_pct,93.08139534883722
val_rows,763
test_rows,838
candidate_count,60
selected_candidate,none
val_baseline_mean_ret_pct,2.9791496671035387
val_strategy_mean_ret_pct,2.9791496671035387
val_delta_mean_ret_pct,0.0
test_baseline_mean_ret_pct,1.5601256467780427
test_strategy_mean_ret_pct,1.5601256467780427
test_delta_mean_ret_pct,0.0
test_n_stopped,0
test_stop_rate_pct,0.0
test_n_reentered,0
test_reentry_rate_among_stopped_pct,
missing_or_unusable_rows,119
