candidate,arm_gain_pct,trail_drawdown_pct,reentry_mode,val_n_trades,val_n_stopped,val_stop_rate_pct,val_n_reentered,val_reentry_rate_among_stopped_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_win_rate_pct,val_strategy_win_rate_pct,val_delta_win_rate_pct,test_n_trades,test_n_stopped,test_stop_rate_pct,test_n_reentered,test_reentry_rate_among_stopped_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_win_rate_pct,test_strategy_win_rate_pct,test_delta_win_rate_pct
trail_after_2_dd_0.5_reclaim_entry_else_close,2.0,0.5,reclaim_entry_else_close,416,254,61.057692307692314,254,100.0,1.7203530096153843,1.2922888923416447,-0.4280641172737396,55.769230769230774,53.36538461538461,-2.4038461538461604,422,249,59.0047393364929,249,100.0,1.4021763981042652,1.031829432382445,-0.37034696572182013,50.71090047393365,50.23696682464455,-0.4739336492891013
trail_after_1_dd_0.5_reclaim_entry_else_close,1.0,0.5,reclaim_entry_else_close,416,297,71.39423076923077,297,100.0,1.7203530096153843,1.2392095560828102,-0.48114345353257404,55.769230769230774,52.644230769230774,-3.125,422,319,75.59241706161137,319,100.0,1.4021763981042652,1.0715011053569587,-0.33067529274730645,50.71090047393365,50.4739336492891,-0.2369668246445471
trail_after_2_dd_0.5_reclaim_entry_else_out,2.0,0.5,reclaim_entry_else_out,416,254,61.057692307692314,250,98.4251968503937,1.7203530096153843,1.239158025236731,-0.4811949843786534,55.769230769230774,53.36538461538461,-2.4038461538461604,422,249,59.0047393364929,239,95.98393574297188,1.4021763981042652,0.9634771946571529,-0.43869920344711233,50.71090047393365,49.052132701421804,-1.658767772511844
trail_after_2_dd_1_reclaim_entry_else_close,2.0,1.0,reclaim_entry_else_close,416,244,58.65384615384615,244,100.0,1.7203530096153843,1.235211485510518,-0.4851415241048662,55.769230769230774,53.605769230769226,-2.163461538461547,422,244,57.81990521327014,244,100.0,1.4021763981042652,1.007748036000855,-0.39442836210341015,50.71090047393365,50.4739336492891,-0.2369668246445471
trail_after_0.5_dd_0.5_reclaim_entry_else_close,0.5,0.5,reclaim_entry_else_close,416,333,80.04807692307693,333,100.0,1.7203530096153843,1.2327320306071985,-0.4876209790081858,55.769230769230774,52.88461538461539,-2.884615384615387,422,345,81.75355450236967,345,100.0,1.4021763981042652,1.0557371744637536,-0.3464392236405116,50.71090047393365,50.23696682464455,-0.4739336492891013
trail_after_2_dd_1.5_reclaim_entry_else_close,2.0,1.5,reclaim_entry_else_close,416,235,56.49038461538461,235,100.0,1.7203530096153843,1.1968717360982244,-0.5234812735171599,55.769230769230774,53.84615384615385,-1.923076923076927,422,235,55.687203791469194,235,100.0,1.4021763981042652,0.9961587522375953,-0.4060176458666699,50.71090047393365,51.18483412322274,0.4739336492890942
trail_after_2_dd_1_reclaim_entry_else_out,2.0,1.0,reclaim_entry_else_out,416,244,58.65384615384615,241,98.77049180327869,1.7203530096153843,1.1888674359007243,-0.53148557371466,55.769230769230774,53.605769230769226,-2.163461538461547,422,244,57.81990521327014,231,94.67213114754098,1.4021763981042652,0.9460635301735951,-0.4561128679306701,50.71090047393365,49.5260663507109,-1.1848341232227497
trail_after_2_dd_2_reclaim_entry_else_close,2.0,2.0,reclaim_entry_else_close,416,223,53.605769230769226,223,100.0,1.7203530096153843,1.1840443903422555,-0.5363086192731288,55.769230769230774,53.125,-2.6442307692307736,422,224,53.08056872037915,224,100.0,1.4021763981042652,0.9840706367641008,-0.4181057613401644,50.71090047393365,50.71090047393365,0.0
trail_after_0.5_dd_1_reclaim_entry_else_close,0.5,1.0,reclaim_entry_else_close,416,322,77.40384615384616,322,100.0,1.7203530096153843,1.1695868014396045,-0.5507662081757798,55.769230769230774,53.605769230769226,-2.163461538461547,422,339,80.33175355450237,339,100.0,1.4021763981042652,1.0545279985732852,-0.34764839953098003,50.71090047393365,51.18483412322274,0.4739336492890942
trail_after_1_dd_0.5_reclaim_entry_else_out,1.0,0.5,reclaim_entry_else_out,416,297,71.39423076923077,289,97.3063973063973,1.7203530096153843,1.1693059198235862,-0.5510470897917981,55.769230769230774,52.644230769230774,-3.125,422,319,75.59241706161137,301,94.35736677115987,1.4021763981042652,0.8663210731728237,-0.5358553249314415,50.71090047393365,48.34123222748815,-2.3696682464454994
trail_after_1_dd_1_reclaim_entry_else_close,1.0,1.0,reclaim_entry_else_close,416,285,68.50961538461539,285,100.0,1.7203530096153843,1.1371719073047637,-0.5831811023106206,55.769230769230774,52.644230769230774,-3.125,422,313,74.17061611374407,313,100.0,1.4021763981042652,1.049291745140127,-0.3528846529641383,50.71090047393365,50.947867298578196,0.2369668246445471
