metric,value
analysis_scope,test_only
test_subset_tune_fraction,0.5
min_decile_score,0.9
analysis_rows_before_filter,6475
analysis_rows_after_filter,889
rows_with_usable_same_day_minutes,838
usable_row_pct,94.26321709786278
val_rows,416
test_rows,422
candidate_count,60
selected_candidate,none
val_baseline_mean_ret_pct,1.7203530096153843
val_strategy_mean_ret_pct,1.7203530096153843
val_delta_mean_ret_pct,0.0
test_baseline_mean_ret_pct,1.4021763981042652
test_strategy_mean_ret_pct,1.4021763981042652
test_delta_mean_ret_pct,0.0
test_n_stopped,0
test_stop_rate_pct,0.0
test_n_reentered,0
test_reentry_rate_among_stopped_pct,
missing_or_unusable_rows,51
