split,ticker,trade_date,buy_datetime,buy_price,pred_mean4,entry_time_bucket,same_day_close_exit_date,same_day_close_close,same_day_close_ret_pct,next_day_close_exit_date,next_day_close_close,next_day_close_ret_pct,second_day_close_exit_date,second_day_close_close,second_day_close_ret_pct,delta_second_vs_next_pct,delta_next_vs_same_pct
val,RZLT,2024-02-26,2024-02-28 11:55:17,1.65,1.3113028172244146,11:00-12:59,2024-02-28,1.62,-1.8181818181818077,2024-02-29,1.65,0.0,2024-03-01,1.8,9.090909090909104,9.090909090909104,1.8181818181818077
val,EVC,2024-03-07,2024-03-07 11:59:29,1.655,1.7308970938513095,11:00-12:59,2024-03-07,1.59,-3.92749244712991,2024-03-08,1.49,-9.969788519637468,2024-03-11,1.5,-9.365558912386707,0.6042296072507618,-6.0422960725075585
val,RAVE,2024-03-11,2024-03-13 13:11:15,1.7,1.339662950671558,13:00-15:59,2024-03-13,1.75,2.941176470588247,2024-03-14,1.77,4.117647058823537,2024-03-15,1.77,4.117647058823537,0.0,1.17647058823529
val,AIM,2024-03-15,2024-03-18 15:16:28,0.3792,2.225425564107241,13:00-15:59,2024-03-18,0.3746,-1.2130801687763704,2024-03-19,0.4046,6.6983122362869185,2024-03-20,0.3997,5.406118143459926,-1.2921940928269926,7.911392405063289
val,ANIX,2024-03-15,2024-03-15 14:30:37,3.613,1.1449011791849366,13:00-15:59,2024-03-15,3.69,2.1311929144754993,2024-03-18,3.51,-2.850816495986719,2024-03-19,3.6,-0.3598117907556042,2.4910047052311146,-4.982009410462219
val,MGLD,2024-03-18,2024-03-19 15:03:55,1.48,1.2842972875102858,13:00-15:59,2024-03-19,1.46,-1.3513513513513487,2024-03-20,1.3901,-6.074324324324332,2024-03-21,1.35,-8.783783783783772,-2.70945945945944,-4.722972972972983
val,AIM,2024-03-21,2024-03-22 13:45:40,0.4433,1.2809696422391088,13:00-15:59,2024-03-22,0.4433,0.0,2024-03-25,0.4396,-0.8346492217460089,2024-03-26,0.4386,-1.060230092488168,-0.22558087074215916,-0.8346492217460089
val,ANIX,2024-04-09,2024-04-10 09:59:51,3.2,1.2903623233062902,09:46-10:59,2024-04-10,3.2,0.0,2024-04-11,3.22,0.6250000000000089,2024-04-12,3.17,-0.9375000000000022,-1.562500000000011,0.6250000000000089
val,VUZI,2024-04-22,2024-04-23 12:09:40,1.31,1.5759505835185232,11:00-12:59,2024-04-23,1.31,0.0,2024-04-24,1.34,2.2900763358778553,2024-04-25,1.34,2.2900763358778553,0.0,2.2900763358778553
val,GALT,2024-04-24,2024-04-25 13:42:10,3.37,1.415672921998777,13:00-15:59,2024-04-25,3.5,3.857566765578624,2024-04-26,3.45,2.3738872403560762,2024-04-29,3.6,6.824925816023741,4.451038575667665,-1.4836795252225476
val,CTTH,2024-05-07,2024-05-08 14:19:54,0.0351,4.144767586248439,13:00-15:59,2024-05-08,0.0351,0.0,2024-05-09,0.033,-5.982905982905972,2024-05-10,0.034,-3.1339031339031265,2.849002849002846,-5.982905982905972
val,CVM,2024-05-08,2024-05-09 13:22:10,43.5,1.4739539968199578,13:00-15:59,2024-05-09,45.3,4.137931034482745,2024-05-10,42.6,-2.0689655172413723,2024-05-13,42.6,-2.0689655172413723,0.0,-6.2068965517241175
val,MDAI,2024-05-10,2024-05-14 11:32:43,1.69,1.2212472943735424,11:00-12:59,2024-05-14,1.69,0.0,2024-05-15,1.67,-1.183431952662728,2024-05-16,1.58,-6.508875739644959,-5.325443786982231,-1.183431952662728
val,MCHX,2024-05-15,2024-05-16 13:01:52,1.32,1.1365635664234999,13:00-15:59,2024-05-16,1.3,-1.5151515151515138,2024-05-17,1.34,1.5151515151515138,2024-05-20,1.34,1.5151515151515138,0.0,3.0303030303030276
val,ETST,2024-05-15,2024-05-16 11:25:30,0.195,2.391110406945222,11:00-12:59,2024-05-16,0.2,2.564102564102577,2024-05-17,0.194,-0.512820512820511,2024-05-20,0.25,28.205128205128194,28.717948717948705,-3.076923076923088
val,MCHX,2024-05-16,2024-05-20 15:08:35,1.34,1.1413740505008665,13:00-15:59,2024-05-20,1.34,0.0,2024-05-21,1.32,-1.4925373134328401,2024-05-22,1.37,2.238805970149249,3.731343283582089,-1.4925373134328401
val,GUER,2024-05-29,2024-05-31 15:40:03,2.5,1.6957516037760811,13:00-15:59,2024-05-31,2.5,0.0,2024-06-03,2.5,0.0,2024-06-04,2.5,0.0,0.0,0.0
val,AENT,2024-05-30,2024-06-03 15:28:01,2.58,1.153878065569851,13:00-15:59,2024-06-03,2.64,2.3255813953488413,2024-06-04,2.98,15.503875968992254,2024-06-05,3.04,17.829457364341074,2.32558139534882,13.178294573643413
val,RDGL,2024-06-04,2024-06-04 14:43:50,0.1683,1.3161420868500813,13:00-15:59,2024-06-04,0.16,-4.931669637551995,2024-06-05,0.168,-0.17825311942958333,2024-06-06,0.175,3.9809863339274942,4.159239453357078,4.753416518122411
val,RZLT,2024-06-25,2024-06-27 14:15:27,4.01,1.1407458548997353,13:00-15:59,2024-06-27,4.01,0.0,2024-06-28,4.3,7.231920199501252,2024-07-01,4.31,7.4812967581047385,0.24937655860348684,7.231920199501252
val,REKR,2024-07-05,2024-07-08 12:39:34,1.82,1.5192822760472013,11:00-12:59,2024-07-08,1.82,0.0,2024-07-09,1.79,-1.6483516483516536,2024-07-10,1.79,-1.6483516483516536,0.0,-1.6483516483516536
val,CTTH,2024-07-11,2024-07-15 11:32:27,0.068,2.2286805904941414,11:00-12:59,2024-07-15,0.068,0.0,2024-07-16,0.068,0.0,2024-07-17,0.07,2.941176470588247,2.941176470588247,0.0
val,CTTH,2024-07-16,2024-07-18 11:41:49,0.0652,1.285702580080085,11:00-12:59,2024-07-18,0.0649,-0.4601226993865004,2024-07-19,0.064,-1.8404907975460016,2024-07-22,0.0436,-33.12883435582822,-31.288343558282214,-1.3803680981595012
val,AREC,2024-07-19,2024-07-24 15:50:25,0.668,1.393218020847531,13:00-15:59,2024-07-24,0.668,0.0,2024-07-25,0.632,-5.389221556886237,2024-07-26,0.6233,-6.691616766467079,-1.3023952095808422,-5.389221556886237
val,RDGL,2024-07-29,2024-07-29 13:31:12,0.093,4.7542030629885685,13:00-15:59,2024-07-29,0.0881,-5.2688172043010795,2024-07-30,0.0938,0.8602150537634357,2024-07-31,0.08725,-6.182795698924737,-7.043010752688173,6.129032258064515
val,CTTH,2024-08-01,2024-08-02 11:00:44,0.048,1.9426803814523945,11:00-12:59,2024-08-02,0.0435,-9.37500000000001,2024-08-05,0.0453,-5.625000000000002,2024-08-06,0.0653,36.04166666666666,41.66666666666666,3.750000000000009
val,CTTH,2024-08-06,2024-08-09 13:24:21,0.048,2.844834777578212,13:00-15:59,2024-08-09,0.05,4.166666666666674,2024-08-12,0.0499,3.9583333333333304,2024-08-13,0.0499,3.9583333333333304,0.0,-0.2083333333333437
val,RDGL,2024-08-07,2024-08-07 13:41:33,0.1147,2.397117279020703,13:00-15:59,2024-08-07,0.11235,-2.048823016564949,2024-08-08,0.1144,-0.2615518744550904,2024-08-09,0.1175,2.441150828247607,2.7027027027026973,1.7872711421098586
val,FSTR,2024-08-08,2024-08-12 12:16:17,17.99,1.6514228328789753,11:00-12:59,2024-08-12,18.34,1.945525291828809,2024-08-13,18.98,5.503057254030019,2024-08-14,17.92,-0.38910505836573517,-5.8921623123957545,3.5575319622012103
val,EOSE,2024-08-09,2024-08-12 11:09:58,1.6566,2.017759405270287,11:00-12:59,2024-08-12,1.68,1.4125316914161523,2024-08-13,1.78,7.448991911143299,2024-08-14,1.8,8.656283955088728,1.2072920439454293,6.036460219727147
val,LEXX,2024-08-12,2024-08-13 11:10:35,3.23,1.1807726093003341,11:00-12:59,2024-08-13,3.23,0.0,2024-08-14,3.21,-0.6191950464396245,2024-08-15,3.15,-2.4767801857585203,-1.8575851393188958,-0.6191950464396245
val,RDGL,2024-08-13,2024-08-13 14:13:27,0.1076,2.01213690011953,13:00-15:59,2024-08-13,0.10954,1.8029739776951548,2024-08-14,0.1097,1.9516728624535462,2024-08-15,0.1146,6.505576208178421,4.5539033457248745,0.14869888475839144
val,ANAB,2024-08-14,2024-08-16 12:19:31,34.0,1.3037235742122748,11:00-12:59,2024-08-16,34.0,0.0,2024-08-19,36.45,7.205882352941195,2024-08-20,36.05,6.029411764705883,-1.1764705882353121,7.205882352941195
val,UAMY,2024-08-14,2024-08-15 15:05:47,0.475,1.1333329671140393,13:00-15:59,2024-08-15,0.475,0.0,2024-08-16,0.5299,11.557894736842123,2024-08-19,0.5607,18.042105263157904,6.484210526315781,11.557894736842123
val,ADMQ,2024-08-15,2024-08-19 11:17:20,0.054,1.5793149220401304,11:00-12:59,2024-08-19,0.05652,4.666666666666663,2024-08-20,0.055,1.85185185185186,2024-08-21,0.0624,15.555555555555545,13.703703703703685,-2.8148148148148033
val,LUCY,2024-08-19,2024-08-21 14:03:39,3.7732,1.2440858873608882,13:00-15:59,2024-08-21,3.81,0.9752994805470205,2024-08-22,3.7,-1.9399978797837392,2024-08-23,3.68,-2.4700519452984238,-0.5300540655146846,-2.9152973603307597
val,ECIA,2024-08-20,2024-08-20 15:54:45,0.32,1.2613483996169932,13:00-15:59,2024-08-20,0.32,0.0,2024-08-21,0.35,9.375,2024-08-22,0.37,15.625,6.25,9.375
val,RMCO,2024-09-03,2024-09-05 09:58:46,0.8475,1.4970168425941794,09:46-10:59,2024-09-05,0.85,0.2949852507374562,2024-09-06,0.87,2.6548672566371723,2024-09-09,0.85,0.2949852507374562,-2.359882005899716,2.359882005899716
val,UEC,2024-09-06,2024-09-06 14:53:19,4.205,1.195747768921881,13:00-15:59,2024-09-06,4.26,1.3079667063020217,2024-09-09,4.38,4.1617122473246,2024-09-10,4.61,9.631391200951246,5.469678953626645,2.8537455410225787
val,EMMA,2024-09-16,2024-09-18 11:55:08,0.016,1.8689681037101513,11:00-12:59,2024-09-18,0.016,0.0,2024-09-19,0.0231,44.374999999999986,2024-09-20,0.021,31.25,-13.124999999999986,44.374999999999986
val,RVP,2024-09-18,2024-09-20 11:59:14,0.715,2.719460739702237,11:00-12:59,2024-09-20,0.7791,8.96503496503498,2024-09-23,0.7201,0.7132867132867204,2024-09-24,0.75,4.895104895104896,4.181818181818175,-8.251748251748259
val,RVP,2024-09-20,2024-09-24 10:15:23,0.7501,1.279527262819493,09:46-10:59,2024-09-24,0.75,-0.013331555792561733,2024-09-25,0.7251,-3.3328889481402557,2024-09-26,0.721,-3.8794827356352535,-0.5465937874949978,-3.319557392347694
val,BUKS,2024-09-24,2024-09-27 14:59:23,1.29,1.3342849275971862,13:00-15:59,2024-09-27,1.29,0.0,2024-09-30,1.32,2.3255813953488413,2024-10-01,1.29,0.0,-2.3255813953488413,2.3255813953488413
