signal,threshold_pct,val_n_trades,val_n_flagged,val_flag_rate_pct,val_loser_precision_pct,val_loser_recall_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_total_pnl_eur,val_strategy_total_pnl_eur,val_delta_total_pnl_eur,test_n_trades,test_n_flagged,test_flag_rate_pct,test_loser_precision_pct,test_loser_recall_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_total_pnl_eur,test_strategy_total_pnl_eur,test_delta_total_pnl_eur
ret_same_day_close_pct,-5.0,435,63,14.482758620689657,52.38095238095239,23.57142857142857,4.678124873563218,3.3714212175752594,-1.3067036559879583,819289.0888209378,537690.8342003329,-281598.2546206049,406,53,13.054187192118228,67.9245283018868,20.57142857142857,2.3736035073891624,1.6384618486629503,-0.7351416587262121,90604.41171131906,60302.32596698818,-30302.085744330878
ret_15m_pct,-3.0,359,49,13.649025069637883,69.38775510204081,27.86885245901639,4.171425849582172,3.485482231181303,-0.6859436184008687,636739.6148517105,535218.3612835627,-101521.25356814777,363,39,10.743801652892563,56.41025641025641,13.924050632911392,2.4412493994490356,1.9240781011987576,-0.5171712982502781,84668.92230684886,69408.25402467797,-15260.668282170896
ret_15m_pct,-5.0,359,24,6.685236768802229,75.0,14.754098360655737,4.171425849582172,3.600528306869408,-0.570897542712764,636739.6148517105,519473.1622873495,-117266.45256436098,363,12,3.3057851239669422,41.66666666666667,3.1645569620253164,2.4412493994490356,2.202186685356306,-0.2390627140927295,84668.92230684886,81052.54619427901,-3616.376112569851
ret_30m_pct,-5.0,332,24,7.228915662650602,62.5,13.636363636363635,4.103480999999999,3.412492211635811,-0.6909887883641876,587120.6258365413,507624.40025633783,-79496.22558020346,345,23,6.666666666666667,69.56521739130434,10.32258064516129,2.2294743188405794,1.9550947183110121,-0.27437960052956734,73605.10469736045,65427.78112549366,-8177.323571866793
ret_same_day_close_pct,-3.0,435,86,19.770114942528735,52.32558139534884,32.142857142857146,4.678124873563218,3.0972603217897676,-1.58086455177345,819289.0888209378,498045.4834184961,-321243.6054024417,406,95,23.39901477832512,69.47368421052632,37.714285714285715,2.3736035073891624,1.4666736950607298,-0.9069298123284326,90604.41171131906,53036.971320970944,-37567.440390348114
ret_15m_pct,-2.0,359,65,18.105849582172702,60.0,31.967213114754102,4.171425849582172,3.222311765825745,-0.9491140837564269,636739.6148517105,484602.647118937,-152136.9677327735,363,69,19.00826446280992,55.072463768115945,24.050632911392405,2.4412493994490356,1.6584568484933682,-0.7827925509556675,84668.92230684886,59402.96175680364,-25265.960550045223
ret_30m_pct,-3.0,332,57,17.16867469879518,59.64912280701754,30.909090909090907,4.103480999999999,3.10930020299052,-0.9941807970094785,587120.6258365413,478173.41940033634,-108947.20643620496,345,50,14.492753623188406,66.0,21.29032258064516,2.2294743188405794,1.7303407787342067,-0.4991335401063728,73605.10469736045,59614.203145254636,-13990.901552105817
ret_15m_pct,-1.0,359,101,28.133704735376046,56.43564356435643,46.72131147540984,4.171425849582172,2.993133346622308,-1.1782925029598639,636739.6148517105,431340.50247075956,-205399.11238095094,363,107,29.476584022038566,58.87850467289719,39.87341772151899,2.4412493994490356,1.6394296937387047,-0.8018197057103309,84668.92230684886,60911.639913683306,-23757.28239316556
ret_30m_pct,-2.0,332,74,22.289156626506024,54.054054054054056,36.36363636363637,4.103480999999999,2.86386072869978,-1.2396202713002187,587120.6258365413,423380.66478698584,-163739.96104955545,345,82,23.768115942028984,62.19512195121951,32.903225806451616,2.2294743188405794,1.4681262234580525,-0.7613480953825269,73605.10469736045,51858.82059679247,-21746.28410056798
ret_same_day_close_pct,-2.0,435,112,25.74712643678161,48.214285714285715,38.57142857142858,4.678124873563218,2.7603557962811194,-1.9177690772820983,819289.0888209378,423300.26371094864,-395988.82510998915,406,117,28.817733990147783,67.52136752136752,45.14285714285714,2.3736035073891624,1.4253438218167436,-0.9482596855724188,90604.41171131906,47733.6096017862,-42870.80210953286
