metric,value
baseline_pred_mean4_threshold,0.8599282366007963
val_executed_trades,440
test_executed_trades,414
selected_signal,none
selected_threshold_pct,
val_baseline_total_pnl_eur,818782.4881953528
val_strategy_total_pnl_eur,818782.4881953528
val_delta_total_pnl_eur,0.0
test_baseline_total_pnl_eur,102266.83706640365
test_strategy_total_pnl_eur,102266.83706640365
test_delta_total_pnl_eur,0.0
test_baseline_mean_ret_pct,2.642068357487922
test_strategy_mean_ret_pct,2.642068357487922
test_delta_mean_ret_pct,0.0
test_n_flagged,0
test_flag_rate_pct,0.0
test_loser_precision_pct,
test_loser_recall_pct,
