strategy,pred_threshold,vol_q,lr_q,val_objective,test_objective,test_return_pct,test_max_dd_pct,test_sortino,test_n_trades
baseline,0.65,,,5368.115245714619,1027.8960142562712,1035.5592911283463,-15.326553744150463,0.5780383392925843,520
vol_cap,0.65,0.7,,464.049729469244,173.8322764086323,181.3237796894682,-14.983006561671818,0.37803810541669364,373
vol_and_lossrate_cap,0.65,0.7,0.7,247.91922196164933,135.35247955900732,143.45720149791526,-16.209443877815875,0.38761235298957153,327
vol_and_lossrate_cap,0.65,0.7,0.8,284.8688270293887,135.8413662389367,144.07088992857587,-16.459047379278346,0.38093721266360425,345
vol_and_lossrate_cap,0.65,0.7,0.9,352.5674831116613,155.59490741561717,163.0888844809309,-14.987954130627411,0.3697921250212742,361
vol_cap,0.65,0.8,,1042.06426370272,293.4286934942971,297.9706873156466,-9.083987642699043,0.4319785304662916,409
vol_and_lossrate_cap,0.65,0.8,0.7,374.20498628213556,197.11837314624933,203.49477396439383,-12.752801636289036,0.3961298189206177,370
vol_and_lossrate_cap,0.65,0.8,0.8,540.8628364496958,222.8455086469554,227.4782033743073,-9.265389454703765,0.37566909233124424,389
vol_and_lossrate_cap,0.65,0.8,0.9,710.3083979970439,238.34170960974032,242.9526344780375,-9.221849736594356,0.3729206155082163,401
vol_cap,0.65,0.9,,1304.2050156667492,388.05768198341434,394.2013421861192,-12.287320405409673,0.5134744797484103,437
vol_and_lossrate_cap,0.65,0.9,0.7,498.53544918181376,226.6518372959274,234.43474776271205,-15.565820933569297,0.4287036650784417,388
vol_and_lossrate_cap,0.65,0.9,0.8,704.7803698483568,248.5798030237282,254.6657330849007,-12.171860122344992,0.4266428395079546,418
vol_and_lossrate_cap,0.65,0.9,0.9,971.8951266738692,337.8739257803684,342.1693547326078,-8.590857904478899,0.4515841458293464,432
lossrate_cap,0.65,,0.7,2243.821179171102,619.8411837361899,627.9770312636748,-16.271695054969836,0.5496689998427823,466
lossrate_cap,0.65,,0.8,2650.5375110998007,669.5409644136262,676.9347544074088,-14.78757998756539,0.5632940868481434,493
lossrate_cap,0.65,,0.9,3057.506370926353,876.6740590483905,884.8815519952335,-16.41498589368592,0.558532212530928,495
baseline,0.7,,,5027.790205753656,1116.850974019548,1123.520877580499,-13.339807121902092,0.6486969075232701,496
vol_cap,0.7,0.7,,485.21014979292636,218.69531244097422,223.68978362467783,-9.988942367407205,0.47495072598029386,346
vol_and_lossrate_cap,0.7,0.7,0.7,282.9336857093397,205.3479578264713,211.20175854306527,-11.707601433187985,0.4985484076064822,297
vol_and_lossrate_cap,0.7,0.7,0.8,307.2268563680961,225.85575940372317,230.5925056285858,-9.47349244972523,0.4941625103669872,318
vol_and_lossrate_cap,0.7,0.7,0.9,374.8637438357688,248.5138956588788,252.43285199369612,-7.837912669634662,0.4805899200821302,335
vol_cap,0.7,0.8,,1040.1003837367343,354.39096392164663,359.8004495463532,-10.818971249413101,0.5007171313398334,389
vol_and_lossrate_cap,0.7,0.8,0.7,441.5167561725714,255.1892337159548,261.4390309420629,-12.499594452216211,0.43832865208210736,344
vol_and_lossrate_cap,0.7,0.8,0.8,579.7773057058122,284.2017549276204,288.1330471213704,-7.862584387499993,0.47927056208789687,361
vol_and_lossrate_cap,0.7,0.8,0.9,746.2933405990558,293.45998937091554,297.4192142642985,-7.9184497867658905,0.44843348262786353,377
