pred_threshold,val_n_trades,val_return_pct,val_max_drawdown_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
0.75,489,4984.838671321932,-10.632384851750087,4979.522478896058,477,1148.573419943083,-13.339807121902103,0.662477338910721,-12.015199999999998,1141.903516382132
0.7,515,5033.842788670409,-12.105165833506682,5027.790205753656,496,1123.520877580499,-13.339807121902092,0.6486969075232701,-12.04712,1116.850974019548
0.8,475,5277.3170903926075,-13.503263699380119,5270.565458542917,457,1087.119930981316,-10.613336977779596,0.6758440325326066,-11.853873913043477,1081.8132624924262
0.9,415,7159.659509255551,-6.740655229459214,7156.289181640821,397,1079.1510500706656,-10.726409176699757,0.7517650154387292,-12.051699999999999,1073.7878454823158
0.65,553,5373.71380400281,-11.197116576381916,5368.115245714619,520,1035.5592911283463,-15.326553744150463,0.5780383392925843,-12.434942307692307,1027.8960142562712
0.5,627,3751.7704491329214,-14.278072226785476,3744.6314130195287,580,998.1085342199151,-12.976979511116793,0.5621611688662768,-11.856137931034482,991.6200444643567
0.55,607,4319.810137233518,-14.560331644701874,4312.529971411167,563,939.2972968157469,-11.062747096727865,0.581553185514385,-11.89625172413793,933.765923267383
0.85,444,7563.018777266878,-9.775664998153587,7558.130944767801,418,925.482330936197,-12.390546717760575,0.7051256855384653,-12.135861904761905,919.2870575773167
0.6,578,5508.696427054841,-14.560332461261849,5501.4162608242095,538,888.0518315776667,-15.93205175529613,0.5647448803780147,-12.421362962962961,880.0858057000187
0.95,399,7389.2935212838,-6.316890458368762,7386.135076054616,384,880.570433815405,-10.72640917669977,0.7282476981466461,-12.10619,875.2072292270551
