ticker,trade_day,bar_count,status
AACOU,2026-02-26,4,fetched
AAOI,2024-03-01,427,fetched
AAOI,2024-05-17,374,fetched
AAOI,2025-08-19,504,fetched
AAON,2025-12-17,313,fetched
AAP,2024-03-21,406,fetched
AAP,2024-03-26,393,fetched
AAP,2024-04-01,373,fetched
AAP,2024-06-06,356,fetched
AAP,2024-10-31,400,fetched
AAP,2024-11-21,395,fetched
AAP,2024-11-28,0,fetched
AAP,2024-12-03,387,fetched
AAP,2025-03-07,398,fetched
AAP,2025-03-12,392,fetched
AAP,2025-03-14,381,fetched
AAP,2025-04-02,414,fetched
AARD,2025-02-21,139,fetched
AARD,2025-09-17,140,fetched
AASP,2026-01-30,0,fetched
AAT,2026-02-23,248,fetched
AAT,2026-02-26,224,fetched
AB,2025-04-08,367,fetched
ABCB,2025-09-17,262,fetched
ABCB,2025-12-11,278,fetched
ABCL,2024-09-02,0,fetched
ABCL,2025-03-10,423,fetched
ABCL,2025-03-13,392,fetched
ABCL,2025-11-27,0,fetched
ABEO,2024-04-30,398,fetched
ABEO,2024-05-21,243,fetched
ABG,2025-08-04,177,fetched
ABR,2024-03-22,383,fetched
ABR,2024-09-09,404,fetched
ABR,2024-12-10,378,fetched
ABR,2025-06-05,384,fetched
ABR,2025-11-19,407,fetched
ABR,2025-12-03,360,fetched
ABSI,2024-03-07,357,fetched
ABSI,2025-12-11,460,fetched
ABT,2026-01-27,438,fetched
ABT,2026-02-09,412,fetched
ABTC,2025-12-19,719,fetched
ABTC,2025-12-25,0,fetched
ACA,2024-08-13,157,fetched
ACA,2024-09-16,210,fetched
ACA,2025-03-07,255,fetched
ACA,2025-03-12,206,fetched
ACCO,2025-05-08,267,fetched
ACCS,2025-05-21,7,fetched
ACDC,2024-05-24,336,fetched
ACDC,2024-05-30,257,fetched
ACDC,2024-06-03,382,fetched
ACDC,2024-08-19,346,fetched
ACDC,2024-08-21,338,fetched
ACDC,2024-08-26,318,fetched
ACDC,2024-08-28,273,fetched
ACDC,2024-09-02,0,fetched
ACDC,2024-09-06,321,fetched
ACDC,2024-09-11,352,fetched
ACDC,2024-09-13,322,fetched
ACDC,2024-09-18,288,fetched
ACDC,2024-11-28,0,fetched
ACDC,2025-03-04,313,fetched
ACDC,2025-05-16,361,fetched
ACDC,2025-05-20,288,fetched
ACDC,2025-08-20,331,fetched
ACEL,2025-03-19,192,fetched
ACET,2025-10-14,439,fetched
ACGL,2025-08-06,386,fetched
ACHR,2024-03-12,521,fetched
ACHR,2024-03-14,478,fetched
ACHR,2024-03-18,520,fetched
ACHR,2024-03-20,476,fetched
ACHR,2024-07-05,716,fetched
ACHR,2024-08-12,525,fetched
ACHR,2024-11-28,0,fetched
ACHR,2024-12-16,901,fetched
ACIC,2024-03-28,340,fetched
ACIC,2024-09-27,146,fetched
ACIC,2024-12-19,184,fetched
ACIC,2025-05-21,179,fetched
ACIC,2025-07-01,165,fetched
ACIW,2025-05-13,366,fetched
ACLS,2024-02-27,330,fetched
ACLS,2024-03-04,289,fetched
ACLS,2024-03-13,309,fetched
ACNB,2024-09-19,16,fetched
ACNB,2024-12-19,10,fetched
ACNB,2025-03-20,32,fetched
ACNB,2025-06-18,43,fetched
ACNB,2025-09-18,61,fetched
ACNB,2025-11-24,20,fetched
ACNB,2025-12-18,53,fetched
ACNT,2024-05-16,11,fetched
ACNT,2024-09-26,14,fetched
ACNT,2024-12-11,29,fetched
ACNT,2024-12-24,11,fetched
ACNT,2025-03-10,16,fetched
ACNT,2025-03-25,40,fetched
ACOG,2024-11-19,57,fetched
ACOG,2025-08-22,63,fetched
ACOG,2026-02-26,55,fetched
ACON,2025-12-03,44,fetched
ACRS,2024-03-07,308,fetched
ACRS,2024-06-17,223,fetched
ACRS,2024-06-20,319,fetched
ACRS,2024-07-02,337,fetched
ACRS,2024-07-08,368,fetched
ACRS,2024-07-24,266,fetched
ACRS,2024-08-02,268,fetched
ACRS,2024-08-07,305,fetched
ACRS,2024-11-22,413,fetched
ACRV,2024-04-16,208,fetched
ACT,2024-02-29,218,fetched
ACTG,2024-05-21,239,fetched
ACTG,2025-05-23,119,fetched
ACTG,2025-08-15,131,fetched
ACTU,2024-08-16,54,fetched
ACTU,2025-07-01,164,fetched
ACUT,2025-01-06,4,fetched
ACUT,2025-06-17,2,fetched
ACVA,2025-11-14,412,fetched
ACVA,2025-11-20,393,fetched
ACVA,2025-12-19,350,fetched
ACVA,2026-01-15,374,fetched
ACVA,2026-02-12,393,fetched
ADBE,2025-02-03,440,fetched
ADBE,2025-03-25,421,fetched
ADC,2024-02-19,0,fetched
ADC,2024-02-21,382,fetched
ADC,2024-02-26,349,fetched
ADC,2024-05-29,358,fetched
ADC,2025-04-11,370,fetched
ADC,2025-06-16,345,fetched
ADC,2025-08-15,301,fetched
ADC,2025-08-19,301,fetched
ADC,2025-09-09,286,fetched
ADC,2025-10-06,347,fetched
ADC,2025-10-13,348,fetched
ADC,2025-12-31,305,fetched
ADC,2026-01-14,360,fetched
ADCT,2024-12-17,363,fetched
ADM,2026-02-11,399,fetched
ADMQ,2024-02-13,13,fetched
ADMQ,2024-02-26,13,fetched
ADMQ,2024-05-01,2,fetched
ADMQ,2024-09-04,2,fetched
ADMQ,2024-11-18,4,fetched
ADMQ,2025-09-08,0,fetched
ADMQ,2025-09-23,8,fetched
ADSK,2024-10-03,326,fetched
ADSK,2025-03-26,370,fetched
ADTN,2025-11-26,356,fetched
ADTN,2025-12-02,341,fetched
ADTX,2024-10-18,573,fetched
ADV,2024-03-08,250,fetched
ADV,2024-03-12,294,fetched
ADV,2024-03-15,301,fetched
ADV,2024-06-26,351,fetched
ADV,2024-09-12,226,fetched
ADV,2024-11-14,348,fetched
ADV,2025-03-20,253,fetched
ADV,2025-03-24,220,fetched
ADV,2025-05-21,203,fetched
ADV,2025-05-23,195,fetched
ADV,2025-05-27,285,fetched
ADV,2025-06-02,304,fetched
ADV,2025-06-04,299,fetched
ADV,2025-06-06,218,fetched
ADV,2025-06-10,280,fetched
ADV,2025-06-12,265,fetched
AEBI,2025-08-25,252,fetched
AEBI,2025-09-18,200,fetched
AEBI,2025-11-19,176,fetched
AEBI,2025-11-25,187,fetched
AEBI,2025-11-27,0,fetched
AEBI,2025-12-10,155,fetched
AEHR,2024-08-06,395,fetched
AEI,2024-06-06,322,fetched
AEI,2024-06-10,94,fetched
AEI,2024-06-13,47,fetched
AEI,2024-06-26,73,fetched
AEI,2024-06-28,142,fetched
AEI,2024-07-02,64,fetched
AEI,2024-08-26,40,fetched
AEI,2024-08-28,27,fetched
AENT,2024-05-20,17,fetched
AENT,2025-06-03,70,fetched
AEON,2025-05-23,131,fetched
AEON,2025-05-27,501,fetched
AERT,2025-11-14,68,fetched
AESI,2024-06-26,364,fetched
AESI,2024-06-28,372,fetched
AESI,2024-07-02,330,fetched
AESI,2024-07-04,0,fetched
AESI,2024-07-24,274,fetched
AESI,2024-10-17,326,fetched
AESI,2024-10-22,316,fetched
AESI,2024-10-24,361,fetched
AESI,2024-10-30,325,fetched
AESI,2024-11-07,369,fetched
AESI,2025-02-07,356,fetched
AESI,2025-03-04,391,fetched
AESI,2025-05-19,343,fetched
AEVA,2025-03-28,416,fetched
AEVA,2025-04-02,420,fetched
AEYE,2024-06-18,244,fetched
AEYE,2025-03-25,118,fetched
AEYE,2025-08-21,108,fetched
AEYE,2025-09-09,125,fetched
AEYE,2025-11-13,145,fetched
AEYE,2025-11-17,114,fetched
AEYE,2025-11-21,155,fetched
AEYE,2025-11-26,86,fetched
AFB,2024-06-12,50,fetched
AFBI,2025-06-05,0,fetched
AFCG,2024-06-10,76,fetched
AFCG,2025-03-31,301,fetched
AFCG,2025-08-28,287,fetched
AFCG,2025-09-02,257,fetched
AFCG,2025-09-05,240,fetched
AFCG,2025-09-10,223,fetched
AFCG,2025-11-20,168,fetched
AFCG,2025-12-08,117,fetched
AFCG,2025-12-12,240,fetched
AFCG,2025-12-17,155,fetched
AFG,2024-07-02,167,fetched
AFG,2025-02-26,279,fetched
AGAE,2024-07-02,90,fetched
AGAE,2024-07-05,91,fetched
AGAE,2024-07-15,69,fetched
AGCO,2024-08-09,325,fetched
AGCO,2024-08-13,340,fetched
AGCO,2024-11-18,342,fetched
AGCO,2025-05-08,312,fetched
AGL,2024-12-17,389,fetched
AGM,2024-08-20,32,fetched
AGM,2025-03-17,52,fetched
AGYS,2024-02-26,81,fetched
AGYS,2024-03-11,125,fetched
AGYS,2026-02-04,267,fetched
AHH,2024-03-18,278,fetched
AHH,2024-03-21,264,fetched
AHH,2024-04-10,349,fetched
AHH,2024-07-11,303,fetched
AHH,2024-07-15,291,fetched
AHH,2024-10-02,365,fetched
AHH,2024-10-07,303,fetched
AHH,2024-10-09,255,fetched
AHH,2024-12-16,332,fetched
AHH,2025-01-08,302,fetched
AHH,2025-03-20,342,fetched
AHH,2025-03-26,313,fetched
AHH,2025-03-28,298,fetched
AHH,2025-04-09,389,fetched
AHH,2025-07-11,277,fetched
AHH,2025-10-08,251,fetched
AIG,2024-03-20,400,fetched
AIG,2024-07-04,0,fetched
AIG,2024-10-04,398,fetched
AIG,2024-11-28,0,fetched
AIG,2025-01-06,393,fetched
AIG,2025-02-20,393,fetched
AIG,2025-07-02,403,fetched
AIG,2025-08-12,393,fetched
AIG,2025-10-03,396,fetched
AIG,2026-01-02,389,fetched
AIM,2024-03-25,212,fetched
AIM,2024-09-18,74,fetched
AIM,2024-12-06,94,fetched
AIM,2025-04-08,0,fetched
AIMD,2025-06-26,126,fetched
AIN,2024-05-07,102,fetched
AIN,2025-08-07,194,fetched
AIN,2025-11-19,271,fetched
AIOT,2025-08-18,381,fetched
AIOT,2025-08-20,390,fetched
AIRJ,2025-12-16,151,fetched
AIRS,2025-05-22,300,fetched
AIRS,2025-06-13,343,fetched
AISP,2025-08-18,294,fetched
AISP,2025-11-20,364,fetched
AJG,2024-12-25,0,fetched
AJG,2025-06-24,322,fetched
AJG,2025-11-05,391,fetched
AKAM,2024-05-16,385,fetched
AKAM,2025-03-03,398,fetched
AKAM,2025-08-14,367,fetched
AKR,2024-03-21,329,fetched
AKTS,2026-01-14,243,fetched
ALAB,2024-03-26,608,fetched
ALDX,2024-04-05,369,fetched
ALDX,2024-04-10,318,fetched
ALG,2025-11-19,103,fetched
ALGM,2024-11-08,378,fetched
ALGM,2024-11-21,390,fetched
ALGN,2024-08-21,282,fetched
ALH,2025-10-16,311,fetched
ALHC,2024-03-20,329,fetched
ALIT,2025-03-06,392,fetched
ALIT,2025-03-13,390,fetched
ALIT,2025-03-17,390,fetched
ALIT,2025-05-22,394,fetched
ALIT,2025-08-11,404,fetched
ALIT,2025-11-27,0,fetched
ALIT,2025-12-02,410,fetched
ALIT,2025-12-05,403,fetched
ALKT,2025-05-20,285,fetched
ALKT,2025-08-15,404,fetched
ALLE,2024-02-28,321,fetched
ALLE,2024-08-01,361,fetched
ALLE,2024-12-06,325,fetched
ALLE,2025-02-25,358,fetched
ALLE,2025-11-26,317,fetched
ALLO,2024-05-22,383,fetched
ALLY,2025-01-29,397,fetched
ALLY,2025-01-31,405,fetched
ALLY,2025-04-25,390,fetched
ALLY,2026-01-27,395,fetched
ALLY,2026-01-30,404,fetched
ALMS,2025-04-07,330,fetched
ALMS,2025-05-08,311,fetched
ALMS,2025-11-19,355,fetched
ALMS,2025-11-21,382,fetched
ALMS,2025-11-27,0,fetched
ALMS,2025-12-03,370,fetched
ALMS,2025-12-08,406,fetched
ALMS,2025-12-11,355,fetched
ALMS,2026-01-15,446,fetched
ALNT,2024-06-19,0,fetched
ALNT,2024-11-14,138,fetched
ALNT,2025-12-25,0,fetched
ALOT,2025-06-19,0,fetched
ALRM,2025-11-24,281,fetched
ALRS,2025-05-06,58,fetched
ALRS,2025-08-05,124,fetched
ALSN,2025-08-19,283,fetched
ALT,2025-03-17,516,fetched
ALT,2025-03-20,404,fetched
ALT,2025-12-25,0,fetched
ALT,2025-12-31,421,fetched
ALT,2026-01-07,445,fetched
ALT,2026-01-13,430,fetched
ALTG,2024-07-15,279,fetched
ALTG,2024-08-02,232,fetched
ALTG,2024-08-07,300,fetched
ALTG,2024-08-15,273,fetched
ALTG,2025-06-04,164,fetched
ALTG,2025-12-12,204,fetched
ALTI,2024-04-08,99,fetched
ALTI,2024-05-20,68,fetched
ALTI,2024-05-27,0,fetched
ALTI,2024-06-06,196,fetched
ALTI,2024-06-10,122,fetched
ALTI,2024-06-12,160,fetched
ALTI,2024-08-19,94,fetched
ALTI,2024-08-26,102,fetched
ALTI,2024-09-09,239,fetched
ALTI,2024-09-16,182,fetched
ALTO,2024-11-19,296,fetched
ALUR,2025-05-23,83,fetched
ALXO,2024-12-06,387,fetched
ALXO,2026-02-06,297,fetched
ALZN,2024-04-05,35,fetched
ALZN,2024-04-25,25,fetched
ALZN,2025-03-18,209,fetched
ALZN,2025-03-28,88,fetched
AM,2024-12-18,384,fetched
AMAT,2025-04-09,501,fetched
AMCR,2025-02-14,403,fetched
AMCR,2025-02-18,417,fetched
AMCR,2025-02-24,410,fetched
AMCR,2025-03-04,412,fetched
AMCR,2025-03-07,401,fetched
AMCR,2025-08-25,435,fetched
AMCR,2025-11-14,432,fetched
AMCR,2025-11-18,422,fetched
AMCR,2025-12-17,413,fetched
AMD,2025-02-14,839,fetched
AMD,2025-05-26,0,fetched
AMH,2024-05-14,376,fetched
AMH,2024-12-04,329,fetched
AMH,2024-12-11,396,fetched
AMH,2025-03-07,390,fetched
AMH,2025-05-09,355,fetched
AMH,2025-06-18,382,fetched
AMH,2025-08-15,375,fetched
AMH,2025-11-25,391,fetched
AMH,2025-12-15,398,fetched
AMH,2026-02-27,396,fetched
AMKR,2025-02-28,402,fetched
AMKR,2025-08-07,438,fetched
AMLX,2024-05-20,301,fetched
AMLX,2024-09-09,341,fetched
AMLX,2024-09-11,350,fetched
AMLX,2024-09-18,335,fetched
AMLX,2025-03-26,236,fetched
AMLX,2025-12-25,0,fetched
AMN,2024-03-01,328,fetched
AMN,2024-03-08,356,fetched
AMPG,2025-04-10,116,fetched
AMPG,2025-06-23,182,fetched
AMPL,2025-03-19,382,fetched
AMPL,2025-11-14,362,fetched
AMPY,2025-03-13,280,fetched
AMPY,2025-06-10,281,fetched
AMPY,2025-06-23,380,fetched
AMPY,2025-06-26,301,fetched
AMPY,2025-08-18,333,fetched
AMR,2024-03-21,215,fetched
AMR,2024-12-19,188,fetched
AMR,2025-09-19,220,fetched
AMR,2025-12-12,162,fetched
AMR,2025-12-16,141,fetched
AMR,2025-12-19,140,fetched
AMRC,2024-11-21,224,fetched
AMRC,2025-03-13,325,fetched
AMRZ,2025-08-12,429,fetched
AMRZ,2025-08-14,405,fetched
AMRZ,2025-08-19,388,fetched
AMRZ,2025-08-27,377,fetched
AMRZ,2025-11-03,417,fetched
AMRZ,2025-11-07,447,fetched
AMRZ,2025-11-21,415,fetched
AMRZ,2026-02-24,404,fetched
AMSF,2024-06-05,89,fetched
AMT,2025-11-06,400,fetched
AMTB,2025-07-30,181,fetched
AMTB,2026-01-30,196,fetched
AMTM,2025-02-24,367,fetched
AMWD,2024-06-04,187,fetched
AMZE,2025-06-16,24,fetched
AN,2024-02-29,261,fetched
ANAB,2024-08-19,266,fetched
ANAB,2025-01-06,295,fetched
ANDG,2025-12-24,95,fetched
ANEB,2024-12-30,67,fetched
ANGO,2024-04-10,327,fetched
ANGO,2025-10-13,252,fetched
