ticker,trade_day,bar_count,status
AAOI,2024-02-29,449,fetched
AAOI,2024-05-16,373,fetched
AAP,2024-03-19,408,fetched
AAP,2024-03-20,394,fetched
AAP,2024-03-25,393,fetched
AAP,2024-03-29,0,fetched
AAP,2024-10-30,405,fetched
AAP,2024-11-20,407,fetched
AAP,2025-03-11,401,fetched
AB,2025-04-07,371,fetched
ABCB,2025-09-16,244,fetched
ABCB,2025-12-10,233,fetched
ABCL,2024-08-30,367,fetched
ABCL,2025-03-07,409,fetched
ABCL,2025-03-11,417,fetched
ABCL,2025-03-12,375,fetched
ABCL,2025-11-26,473,fetched
ABEO,2024-05-20,205,fetched
ABG,2025-08-01,259,fetched
ABR,2024-03-21,413,fetched
ABR,2024-09-06,425,fetched
ABR,2024-12-09,372,fetched
ABR,2025-06-04,402,fetched
ABR,2025-12-02,386,fetched
ABSI,2024-03-06,383,fetched
ABSI,2025-12-10,489,fetched
ABT,2026-02-06,429,fetched
ABTC,2025-12-18,629,fetched
ABTC,2025-12-24,286,fetched
ACA,2024-09-13,193,fetched
ACA,2025-03-06,271,fetched
ACCS,2025-05-20,6,fetched
ACDC,2024-05-23,324,fetched
ACDC,2024-05-29,275,fetched
ACDC,2024-05-31,295,fetched
ACDC,2024-08-16,338,fetched
ACDC,2024-08-20,342,fetched
ACDC,2024-08-23,319,fetched
ACDC,2024-08-27,254,fetched
ACDC,2024-08-30,226,fetched
ACDC,2024-09-05,274,fetched
ACDC,2024-09-10,369,fetched
ACDC,2024-09-12,344,fetched
ACDC,2024-09-17,338,fetched
ACDC,2025-03-03,307,fetched
ACDC,2025-05-15,344,fetched
ACDC,2025-05-19,331,fetched
ACDC,2025-08-19,452,fetched
ACEL,2025-03-18,266,fetched
ACET,2025-10-13,470,fetched
ACGL,2025-08-05,378,fetched
ACHR,2024-03-11,494,fetched
ACHR,2024-03-13,514,fetched
ACHR,2024-03-15,500,fetched
ACHR,2024-03-19,483,fetched
ACHR,2024-07-04,0,fetched
ACHR,2024-08-09,676,fetched
ACHR,2024-11-27,813,fetched
ACHR,2024-12-13,857,fetched
ACIC,2024-03-27,278,fetched
ACIC,2024-09-26,247,fetched
ACIC,2024-12-18,110,fetched
ACIC,2025-05-20,185,fetched
ACIC,2025-06-30,144,fetched
ACNB,2025-03-19,37,fetched
ACNB,2025-06-17,19,fetched
ACNB,2025-09-17,38,fetched
ACNB,2025-11-21,49,fetched
ACNB,2025-12-17,30,fetched
ACOG,2025-08-21,42,fetched
ACOG,2026-02-25,76,fetched
ACRS,2024-03-06,364,fetched
ACRS,2024-06-14,242,fetched
ACRS,2024-06-19,0,fetched
ACRS,2024-07-01,366,fetched
ACRS,2024-07-05,316,fetched
ACRS,2024-07-23,275,fetched
ACRS,2024-08-01,353,fetched
ACRS,2024-08-06,244,fetched
ACRS,2024-11-21,455,fetched
ACRV,2024-04-15,251,fetched
ACTU,2024-08-15,91,fetched
ACTU,2025-06-30,172,fetched
ACUT,2025-01-03,13,fetched
ACUT,2025-06-13,17,fetched
ACUT,2025-06-16,5,fetched
ACVA,2025-11-13,440,fetched
ACVA,2025-11-19,401,fetched
ADBE,2025-01-31,426,fetched
ADC,2024-02-20,378,fetched
ADC,2024-02-22,359,fetched
ADC,2024-05-28,344,fetched
ADC,2025-04-10,373,fetched
ADC,2025-06-13,341,fetched
ADC,2025-09-08,333,fetched
ADC,2025-10-10,365,fetched
ADC,2025-12-30,303,fetched
ADCT,2024-12-16,366,fetched
ADM,2026-02-10,412,fetched
ADSK,2025-03-25,365,fetched
ADTX,2024-10-17,632,fetched
ADV,2025-03-19,268,fetched
ADV,2025-03-21,291,fetched
ADV,2025-05-20,209,fetched
ADV,2025-05-22,322,fetched
ADV,2025-05-26,0,fetched
ADV,2025-05-29,247,fetched
ADV,2025-05-30,307,fetched
ADV,2025-06-03,249,fetched
ADV,2025-06-05,234,fetched
ADV,2025-06-09,213,fetched
ADV,2025-06-11,345,fetched
AEBI,2025-12-09,187,fetched
AEHR,2024-08-05,441,fetched
AENT,2024-05-17,15,fetched
AEON,2025-05-22,172,fetched
AEON,2025-05-26,0,fetched
AERT,2025-11-13,95,fetched
AESI,2024-06-25,323,fetched
AESI,2024-06-27,362,fetched
AESI,2024-07-01,308,fetched
AESI,2024-07-03,192,fetched
AESI,2024-07-23,280,fetched
AESI,2024-10-16,322,fetched
AESI,2024-10-21,311,fetched
AESI,2024-10-23,322,fetched
AESI,2024-10-29,384,fetched
AESI,2024-11-06,381,fetched
AESI,2025-03-03,364,fetched
AESI,2025-05-16,374,fetched
AEVA,2025-03-27,432,fetched
AEVA,2025-04-01,430,fetched
AEYE,2024-06-17,151,fetched
AEYE,2025-03-24,147,fetched
AEYE,2025-08-20,123,fetched
AEYE,2025-09-08,134,fetched
AEYE,2025-11-12,113,fetched
AEYE,2025-11-14,137,fetched
AEYE,2025-11-20,74,fetched
AEYE,2025-11-25,75,fetched
AFB,2024-06-11,31,fetched
AFBI,2025-06-04,5,fetched
AFCG,2025-09-01,0,fetched
AFCG,2025-09-04,218,fetched
AFCG,2025-12-04,123,fetched
AFCG,2025-12-05,126,fetched
AFCG,2025-12-11,138,fetched
AFCG,2025-12-16,192,fetched
AFG,2024-07-01,184,fetched
AFG,2025-02-25,331,fetched
AGAE,2024-07-01,96,fetched
AGAE,2024-07-04,0,fetched
AGAE,2024-07-12,122,fetched
AGCO,2024-08-07,314,fetched
AGCO,2024-08-08,287,fetched
AGCO,2024-08-12,342,fetched
AGCO,2024-11-15,366,fetched
AGCO,2025-05-07,321,fetched
AGL,2024-12-16,375,fetched
AGM,2024-08-19,37,fetched
AGM,2025-03-14,44,fetched
AGYS,2024-02-23,166,fetched
AGYS,2024-03-08,91,fetched
AGYS,2026-02-03,260,fetched
AHH,2024-03-15,269,fetched
AHH,2024-03-20,317,fetched
AHH,2024-04-09,327,fetched
AHH,2024-07-10,174,fetched
AHH,2024-07-12,265,fetched
AHH,2024-10-04,370,fetched
AHH,2024-10-08,360,fetched
AHH,2024-12-13,259,fetched
AHH,2025-01-07,328,fetched
AHH,2025-03-19,331,fetched
AHH,2025-03-25,339,fetched
AHH,2025-03-27,342,fetched
AHH,2025-04-08,380,fetched
AHH,2025-07-10,280,fetched
AHH,2025-10-07,302,fetched
AIG,2024-03-19,402,fetched
AIG,2024-07-03,212,fetched
AIG,2024-10-03,392,fetched
AIG,2024-11-27,393,fetched
AIG,2025-01-03,392,fetched
AIG,2025-02-19,394,fetched
AIG,2025-07-01,394,fetched
AIG,2025-08-11,392,fetched
AIG,2025-10-02,395,fetched
AIG,2026-01-01,0,fetched
AIM,2024-03-22,75,fetched
AIM,2024-12-05,88,fetched
AIMD,2025-06-25,106,fetched
AIOT,2025-08-19,379,fetched
AIRJ,2025-12-15,183,fetched
AIRS,2025-06-12,335,fetched
AISP,2025-11-19,369,fetched
AKR,2024-03-20,362,fetched
AKTS,2026-01-13,241,fetched
