idx,ticker,entry_time,exit_time,orig_ret,low_pct,high_pct,no_data,ret_sl3,stopped_sl3,ret_sl5,stopped_sl5,ret_sl7,stopped_sl7,ret_sl10,stopped_sl10,ret_sl15,stopped_sl15,ret_sl20,stopped_sl20
0,MGLD,2024-12-23 11:43:16,2024-12-24 16:00:00,-7.8212,-10.106741573033705,6.17977528089888,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-7.8212,False,-7.8212,False
1,IOBT,2024-12-24 09:45:00,2024-12-25 16:00:00,4.4328,-5.010554382846355,1.0998777913565183,False,-3.0,True,-5.0,True,4.4328,False,4.4328,False,4.4328,False,4.4328,False
2,GREE,2024-12-24 09:45:00,2024-12-25 16:00:00,-1.7045,-3.280542986425339,0.0,False,-3.0,True,-1.7045,False,-1.7045,False,-1.7045,False,-1.7045,False,-1.7045,False
3,TZUP,2024-12-26 15:01:57,2024-12-27 16:00:00,5.2795,-3.4267912772585674,8.722741433021808,False,-3.0,True,5.2795,False,5.2795,False,5.2795,False,5.2795,False,5.2795,False
4,QNRX,2024-12-30 09:45:00,2024-12-31 16:00:00,5.1212,-6.273291925465829,24.22360248447206,False,-3.0,True,-5.0,True,5.1212,False,5.1212,False,5.1212,False,5.1212,False
5,SPGC,2024-12-31 09:45:00,2025-01-01 16:00:00,1.0687,-8.47218962684816,12.602675428303222,False,-3.0,True,-5.0,True,-7.0,True,1.0687,False,1.0687,False,1.0687,False
6,DTIL,2024-12-31 09:45:00,2025-01-01 16:00:00,6.5909,-17.954545454545467,2.2727272727272707,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-15.0,True,6.5909,False
7,QIPT,2024-12-31 09:45:00,2025-01-01 16:00:00,1.0453,-0.6968641114982632,6.6202090592334395,False,1.0453,False,1.0453,False,1.0453,False,1.0453,False,1.0453,False,1.0453,False
8,PRLD,2025-01-03 09:45:00,2025-01-06 16:00:00,-4.3165,-7.885304659498216,2.508960573476693,False,-3.0,True,-5.0,True,-7.0,True,-4.3165,False,-4.3165,False,-4.3165,False
9,BSPK,2025-01-06 09:45:00,2025-01-07 16:00:00,0.8858,0.0,13.188976377952756,False,0.8858,False,0.8858,False,0.8858,False,0.8858,False,0.8858,False,0.8858,False
10,LBSR,2025-01-13 14:18:19,2025-01-14 16:00:00,-3.6364,-4.545454545454552,7.727272727272716,False,-3.0,True,-3.6364,False,-3.6364,False,-3.6364,False,-3.6364,False,-3.6364,False
11,IBIO,2025-01-14 09:45:00,2025-01-15 16:00:00,11.7647,-1.9607843137254832,12.937254901960804,False,11.7647,False,11.7647,False,11.7647,False,11.7647,False,11.7647,False,11.7647,False
12,GRYP,2025-01-16 09:45:00,2025-01-17 16:00:00,4.8686,-3.5146846413095845,8.329321136254219,False,-3.0,True,4.8686,False,4.8686,False,4.8686,False,4.8686,False,4.8686,False
13,MKZR,2025-01-21 11:52:53,2025-01-22 16:00:00,-13.0952,-16.666666666666664,1.5873015873016039,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-15.0,True,-13.0952,False
14,MYCB,2025-01-23 09:45:00,2025-01-24 16:00:00,25.6261,0.0,100.0,False,25.6261,False,25.6261,False,25.6261,False,25.6261,False,25.6261,False,25.6261,False
15,AEI,2025-01-24 09:45:00,2025-01-27 16:00:00,11.1502,-8.045977011494243,9.195402298850563,False,-3.0,True,-5.0,True,-7.0,True,11.1502,False,11.1502,False,11.1502,False
16,SSII,2025-01-24 09:45:00,2025-01-27 16:00:00,17.2414,0.0,17.24137931034482,False,17.2414,False,17.2414,False,17.2414,False,17.2414,False,17.2414,False,17.2414,False
17,ETST,2025-01-27 09:45:00,2025-01-28 16:00:00,-2.2727,-13.636363636363635,12.27272727272728,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-2.2727,False,-2.2727,False
18,ETST,2025-01-28 13:18:19,2025-01-29 16:00:00,9.4527,-2.985074626865669,19.402985074626855,False,9.4527,False,9.4527,False,9.4527,False,9.4527,False,9.4527,False,9.4527,False
19,AEI,2025-01-29 09:45:00,2025-01-30 16:00:00,0.8394,-8.014257790042546,8.048752443371265,False,-3.0,True,-5.0,True,-7.0,True,0.8394,False,0.8394,False,0.8394,False
20,OVID,2025-01-29 09:45:00,2025-01-30 16:00:00,-7.2224,-7.324405575293791,10.399016124624216,False,-3.0,True,-5.0,True,-7.0,True,-7.2224,False,-7.2224,False,-7.2224,False
21,PCSA,2025-01-30 09:45:00,2025-01-31 16:00:00,-10.9589,-19.60077626836706,8.12309398392015,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-15.0,True,-10.9589,False
22,FFIE,2025-01-31 09:45:00,2025-02-03 16:00:00,5.2799,-2.132399745385105,9.802673456397205,False,5.2799,False,5.2799,False,5.2799,False,5.2799,False,5.2799,False,5.2799,False
23,CRBU,2025-01-31 09:45:00,2025-02-03 16:00:00,0.0,-1.831501831501825,15.018315018315032,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
24,COSM,2025-01-31 10:01:55,2025-02-03 16:00:00,7.3486,-2.5831353919239852,8.37292161520191,False,7.3486,False,7.3486,False,7.3486,False,7.3486,False,7.3486,False,7.3486,False
25,OTLC,2025-02-03 09:45:00,2025-02-04 16:00:00,-0.3322,-1.661129568106301,8.30564784053156,False,-0.3322,False,-0.3322,False,-0.3322,False,-0.3322,False,-0.3322,False,-0.3322,False
26,GIFT,2025-02-04 09:45:00,2025-02-05 16:00:00,7.8537,-2.534516765285999,32.14990138067062,False,7.8537,False,7.8537,False,7.8537,False,7.8537,False,7.8537,False,7.8537,False
27,CGTX,2025-02-05 09:45:00,2025-02-06 16:00:00,-2.4543,-4.743861776295866,3.0615337981206414,False,-3.0,True,-2.4543,False,-2.4543,False,-2.4543,False,-2.4543,False,-2.4543,False
28,ZNTL,2025-02-05 09:45:00,2025-02-06 16:00:00,16.129,-2.717391304347827,27.989130434782595,False,16.129,False,16.129,False,16.129,False,16.129,False,16.129,False,16.129,False
29,CTTH,2025-02-06 09:45:00,2025-02-07 16:00:00,-5.1852,-15.740740740740744,11.111111111111116,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-15.0,True,-5.1852,False
30,RKDA,2025-02-06 09:45:00,2025-02-07 16:00:00,1.0633,0.0,5.274239393620372,False,1.0633,False,1.0633,False,1.0633,False,1.0633,False,1.0633,False,1.0633,False
31,ATXG,2025-02-10 09:45:00,2025-02-11 16:00:00,-4.386,-9.64912280701753,3.5087719298245723,False,-3.0,True,-5.0,True,-7.0,True,-4.386,False,-4.386,False,-4.386,False
32,TECX,2025-02-10 09:45:00,2025-02-11 16:00:00,-16.206275,-16.657894736842106,3.528947368421065,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-15.0,True,-16.206275,False
33,CASK,2025-02-10 09:45:00,2025-02-11 16:00:00,-3.252,-10.671936758893285,0.39525691699606735,False,-3.0,True,-5.0,True,-7.0,True,-10.0,True,-3.252,False,-3.252,False
34,SRTS,2025-02-10 15:35:55,2025-02-11 16:00:00,-1.6584,-3.322259136212613,5.481727574750828,False,-3.0,True,-1.6584,False,-1.6584,False,-1.6584,False,-1.6584,False,-1.6584,False
35,HP,2025-02-12 09:45:00,2025-02-13 16:00:00,2.2864,0.0,3.4184823441021805,False,2.2864,False,2.2864,False,2.2864,False,2.2864,False,2.2864,False,2.2864,False
36,MGLD,2025-02-13 09:45:00,2025-02-14 16:00:00,10.0,0.0,15.500000000000004,False,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False
37,USEG,2025-02-13 09:45:00,2025-02-14 16:00:00,0.7444,-2.9019957410983843,5.977318872876758,False,0.7444,False,0.7444,False,0.7444,False,0.7444,False,0.7444,False,0.7444,False
