"ticker","market_category","market","primary_exchange","active","found"
"AARD","NASDAQ","stocks","XNAS","True","True"
"AASP","OTC","otc","OTC Link","True","True"
"ABL","non tradable","","","","False"
"ABP","non tradable","","","","False"
"ABSI","NASDAQ","stocks","XNAS","True","True"
"ACDC","NASDAQ","stocks","XNAS","True","True"
"ACHV","NASDAQ","stocks","XNAS","True","True"
"ACRV","NASDAQ","stocks","XNAS","True","True"
"ADGM","NASDAQ","stocks","XNAS","True","True"
"ADMQ","OTC","otc","OTC Link","True","True"
"ADV","NASDAQ","stocks","XNAS","True","True"
"AEI","NASDAQ","stocks","XNAS","True","True"
"AENT","NASDAQ","stocks","XNAS","True","True"
"AFCG","NASDAQ","stocks","XNAS","True","True"
"AGIG","AMEX","stocks","XASE","True","True"
"AIM","AMEX","stocks","XASE","True","True"
"AIRJ","NASDAQ","stocks","XNAS","True","True"
"AIRS","NASDAQ","stocks","XNAS","True","True"
"AISP","NASDAQ","stocks","XNAS","True","True"
"AKTX","NASDAQ","stocks","XNAS","True","True"
"ALGN","NASDAQ","stocks","XNAS","True","True"
"ALIT","NYSE","stocks","XNYS","True","True"
"ALUR","NYSE","stocks","XNYS","True","True"
"ALXO","NASDAQ","stocks","XNAS","True","True"
"ALZN","NASDAQ","stocks","XNAS","True","True"
"AMRC","NYSE","stocks","XNYS","True","True"
"AMZE","AMEX","stocks","XASE","True","True"
"ANTX","NASDAQ","stocks","XNAS","True","True"
"AP","NYSE","stocks","XNYS","True","True"
"APRE","NASDAQ","stocks","XNAS","True","True"
"APUS","AMEX","stocks","XASE","True","True"
"ARAY","NASDAQ","stocks","XNAS","True","True"
"ARQ","NASDAQ","stocks","XNAS","True","True"
"ASRV","NASDAQ","stocks","XNAS","True","True"
"ASST","NASDAQ","stocks","XNAS","True","True"
"ATXG","NASDAQ","stocks","XNAS","True","True"
"AWRE","NASDAQ","stocks","XNAS","True","True"
"AXTI","NASDAQ","stocks","XNAS","True","True"
"AYTU","NASDAQ","stocks","XNAS","True","True"
"BARK","NYSE","stocks","XNYS","True","True"
"BCDA","NASDAQ","stocks","XNAS","True","True"
"BHVN","NYSE","stocks","XNYS","True","True"
"BLMH","OTC","otc","OTC Link","True","True"
"BLNE","NASDAQ","stocks","XNAS","True","True"
"BLNK","NASDAQ","stocks","XNAS","True","True"
"BMEA","NASDAQ","stocks","XNAS","True","True"
"BNC","NASDAQ","stocks","XNAS","True","True"
"BSPK","OTC","otc","OTC Link","True","True"
"BTBT","NASDAQ","stocks","XNAS","True","True"
"BTMD","NASDAQ","stocks","XNAS","True","True"
"BW","NYSE","stocks","XNYS","True","True"
"CABA","NASDAQ","stocks","XNAS","True","True"
"CALC","NASDAQ","stocks","XNAS","True","True"
"CASK","non tradable","","","","False"
"CATX","AMEX","stocks","XASE","True","True"
"CERT","NASDAQ","stocks","XNAS","True","True"
"CGC","NASDAQ","stocks","XNAS","True","True"
"CGTX","NASDAQ","stocks","XNAS","True","True"
"CHGG","NYSE","stocks","XNYS","True","True"
"CHUC","OTC","otc","OTC Link","True","True"
"CING","NASDAQ","stocks","XNAS","True","True"
"CJMB","NASDAQ","stocks","XNAS","True","True"
"CLAR","NASDAQ","stocks","XNAS","True","True"
"CLDI","AMEX","stocks","XASE","True","True"
"CLNE","NASDAQ","stocks","XNAS","True","True"
"CLRB","NASDAQ","stocks","XNAS","True","True"
"CMCO","NASDAQ","stocks","XNAS","True","True"
"CNFR","non tradable","","","","False"
"CNTX","NASDAQ","stocks","XNAS","True","True"
"CNVS","NASDAQ","stocks","XNAS","True","True"
"COCH","NASDAQ","stocks","XNAS","True","True"
"COOK","NYSE","stocks","XNYS","True","True"
"COSM","NASDAQ","stocks","XNAS","True","True"
"COTY","NYSE","stocks","XNYS","True","True"
"CPSH","NASDAQ","stocks","XNAS","True","True"
"CRBU","NASDAQ","stocks","XNAS","True","True"
"CTEV","NYSE","stocks","XNYS","True","True"
"CTTH","OTC","otc","OTC Link","True","True"
"CVRX","NASDAQ","stocks","XNAS","True","True"
"CWBHF","OTC","otc","OTC Link","True","True"
"DCGO","NASDAQ","stocks","XNAS","True","True"
"DLTH","NASDAQ","stocks","XNAS","True","True"
"DRIO","NASDAQ","stocks","XNAS","True","True"
"DRTTF","OTC","otc","OTC Link","True","True"
"DTIL","NASDAQ","stocks","XNAS","True","True"
"DYN","NASDAQ","stocks","XNAS","True","True"
"EAF","NYSE","stocks","XNYS","True","True"
"ECIA","OTC","otc","OTC Link","True","True"
"ECOR","NASDAQ","stocks","XNAS","True","True"
"EDBL","NASDAQ","stocks","XNAS","True","True"
"EFOI","NASDAQ","stocks","XNAS","True","True"
"ELUT","NASDAQ","stocks","XNAS","True","True"
"ELWT","NASDAQ","stocks","XNAS","True","True"
"ENPH","NASDAQ","stocks","XNAS","True","True"
"ENTX","NASDAQ","stocks","XNAS","True","True"
"EONR","AMEX","stocks","XASE","True","True"
"ETST","OTC","otc","OTC Link","True","True"
"EU","NASDAQ","stocks","XNAS","True","True"
"EXOZ","NASDAQ","stocks","XNAS","True","True"
"FBLG","NASDAQ","stocks","XNAS","True","True"
"FBRX","NASDAQ","stocks","XNAS","True","True"
"FCUV","NASDAQ","stocks","XNAS","True","True"
"FEAM","NASDAQ","stocks","XNAS","True","True"
"FFAI","NASDAQ","stocks","XNAS","True","True"
"FFIE","non tradable","","","","False"
"FLNC","NASDAQ","stocks","XNAS","True","True"
"FNKO","NASDAQ","stocks","XNAS","True","True"
"FRGT","NASDAQ","stocks","XNAS","True","True"
"FTAI","NASDAQ","stocks","XNAS","True","True"
"GIFT","NASDAQ","stocks","XNAS","True","True"
"GMGI","NASDAQ","stocks","XNAS","True","True"
"GOVX","NASDAQ","stocks","XNAS","True","True"
"GPUS","AMEX","stocks","XASE","True","True"
"GREE","NASDAQ","stocks","XNAS","True","True"
"GRYP","non tradable","","","","False"
"GTE","AMEX","stocks","XASE","True","True"
"GUTS","NASDAQ","stocks","XNAS","True","True"
"HAIN","NASDAQ","stocks","XNAS","True","True"
"HCWB","NASDAQ","stocks","XNAS","True","True"
"HELE","NASDAQ","stocks","XNAS","True","True"
"HFFG","NASDAQ","stocks","XNAS","True","True"
"HITC","non tradable","","","","False"
"HOVR","NASDAQ","stocks","XNAS","True","True"
"HP","NYSE","stocks","XNYS","True","True"
"HUMA","NASDAQ","stocks","XNAS","True","True"
"IAUX","AMEX","stocks","XASE","True","True"
"IBIO","NASDAQ","stocks","XNAS","True","True"
"ICHR","NASDAQ","stocks","XNAS","True","True"
"IMMX","NASDAQ","stocks","XNAS","True","True"
"IMRX","NASDAQ","stocks","XNAS","True","True"
"IMUX","NASDAQ","stocks","XNAS","True","True"
"INIS","OTC","otc","OTC Link","True","True"
"INUV","AMEX","stocks","XASE","True","True"
"INV","NASDAQ","stocks","XNAS","True","True"
"IOBT","NASDAQ","stocks","XNAS","True","True"
"IOVA","NASDAQ","stocks","XNAS","True","True"
"IPSC","NASDAQ","stocks","XNAS","True","True"
"IPWR","NASDAQ","stocks","XNAS","True","True"
"IRIX","NASDAQ","stocks","XNAS","True","True"
