level,window,regime,n_obs,mean_strategy_ret_pct,median_strategy_ret_pct,win_rate_pct,mean_benchmark_ret_pct,mean_benchmark_1d_equiv_ret_pct,mean_day_adjusted_excess_vs_benchmark_pct,median_day_adjusted_excess_vs_benchmark_pct,mean_return_diff_vs_all_pct,invested_eur,pnl_eur,capital_weighted_ret_pct,capital_weighted_diff_vs_all_pct
date,month,bearish,74,1.7782040259009009,1.661025,62.16216216216216,-3.578746880436352,-0.17562052613525087,1.9538245520361521,2.0482605370188818,-0.4254386867908704,981833.8447831288,22849.517600322335,2.3272285551909673,0.22518224927376584
date,month,bullish,165,2.3944455176767683,1.4799999999999998,60.0,3.1579725937539473,0.1464382462776988,2.248007271399069,1.3180641609773198,0.19080280498499702,2829073.995651736,57257.52988144773,2.023896510641012,-0.0781497952761896
date,same_day,bearish,103,1.5165107402912619,1.32855,60.19417475728155,-0.7453597788183907,-0.7453597788183907,2.2618705191096526,2.1341454436707936,-0.6871319724005094,1683666.0041113417,16601.16806818224,0.9860131420153326,-1.1160331639018688
date,same_day,bullish,136,2.7240441329656866,1.8148625,61.029411764705884,0.7038833344979027,0.7038833344979027,2.0201607984677836,1.2812732802642612,0.5204014202739153,2127241.8363235225,63505.87941358782,2.985362469334657,0.8833161634174558
date,week,bearish,98,2.006615157312925,1.6114000000000002,60.204081632653065,-1.7426755022940132,-0.3539665361266404,2.3605816934395656,2.0313244251456064,-0.1970275553788463,1579657.4413812326,34127.5603917057,2.160440580197248,0.05839427428004651
date,week,bullish,141,2.340583850472813,1.341,60.99290780141844,1.577786921136689,0.3118453705692784,2.028738479903535,1.0612135580465216,0.1369411377810419,2231250.399053632,45979.48709006435,2.060704935204323,-0.041341370712878245
trade,month,bearish,151,2.246010430463576,1.4116,57.615894039735096,-3.8200162198349257,-0.18784846683525228,2.433858897298828,1.4541625739621904,-0.026854087356130485,981833.8447831287,22849.51760032233,2.3272285551909673,0.22518224927376673
trade,month,bullish,326,2.2853030674846626,0.8308,55.52147239263804,3.3287220253174143,0.15420984403965032,2.131093223445012,0.7628161032434717,0.012438549664956167,2829073.9956517355,57257.529881447714,2.0238965106410114,-0.07814979527618915
trade,same_day,bearish,212,1.590219929245283,0.92735,55.660377358490564,-0.795770519408513,-0.795770519408513,2.385990448653796,1.982807445123428,-0.6826445885744234,1683666.0041113412,16601.16806818224,0.986013142015333,-1.1160331639018675
trade,same_day,bullish,265,2.8189801886792454,1.0884,56.60377358490566,0.7168741131241745,0.7168741131241745,2.1021060755550702,0.715744473867141,0.5461156708595389,2127241.836323523,63505.87941358781,2.9853624693346563,0.8833161634174558
trade,week,bearish,206,1.9378825242718447,0.95495,54.85436893203883,-1.9030440141048248,-0.38740368381839824,2.3252862080902426,1.3878407337048921,-0.33498199354786173,1579657.4413812323,34127.56039170571,2.1604405801972484,0.05839427428004784
trade,week,bullish,271,2.5275002767527677,1.3233,57.19557195571956,1.6290722417924484,0.3219415189141047,2.205558757838663,0.8740382589369678,0.25463575893306123,2231250.399053632,45979.487090064344,2.060704935204323,-0.04134137071287736
