ticker,trade_day,bar_count,status
BSRR,2021-03-01,0,error:BadResponse
CVLG,2021-03-01,0,error:BadResponse
IRWD,2021-03-01,0,error:BadResponse
M,2021-03-01,0,error:BadResponse
SNSE,2021-03-01,0,error:BadResponse
A,2021-07-22,390,fetched
A,2022-03-14,405,fetched
A,2023-08-15,460,fetched
AAME,2022-04-05,24,fetched
AAON,2022-03-07,229,fetched
AAON,2023-09-19,242,fetched
AAP,2021-06-21,360,fetched
AAP,2023-06-12,439,fetched
AAP,2023-06-14,431,fetched
AAP,2023-09-15,409,fetched
AATC,2021-08-19,68,fetched
AATC,2021-08-20,57,fetched
AATC,2021-09-17,28,fetched
AATC,2021-11-29,23,fetched
AATC,2022-05-20,13,fetched
AATC,2022-05-26,9,fetched
AATC,2022-09-02,35,fetched
AATC,2022-09-06,9,fetched
AATC,2022-09-08,4,fetched
AATC,2022-09-12,21,fetched
AATC,2022-11-28,25,fetched
AATC,2022-11-29,19,fetched
AATC,2022-11-30,14,fetched
AATC,2022-12-02,23,fetched
ABCB,2023-03-13,385,fetched
ABCB,2023-05-24,189,fetched
ABCL,2021-08-18,399,fetched
ABCL,2021-12-07,403,fetched
ABCL,2022-03-03,371,fetched
ABCL,2022-03-07,392,fetched
ABCL,2022-06-08,363,fetched
ABCL,2022-06-15,397,fetched
ABCL,2022-08-22,402,fetched
ABCL,2022-12-20,381,fetched
ABCL,2023-08-09,409,fetched
ABCL,2023-09-26,391,fetched
ABCL,2023-11-08,379,fetched
ABG,2021-04-14,195,fetched
ABM,2021-09-15,278,fetched
ABOS,2021-07-09,76,fetched
ABOS,2023-07-26,449,fetched
ABR,2021-03-19,374,fetched
ABR,2021-11-30,419,fetched
ABR,2022-02-09,377,fetched
ABR,2022-03-17,458,fetched
ABR,2022-05-16,399,fetched
ABR,2022-09-14,397,fetched
ABR,2023-06-05,397,fetched
ABR,2023-11-10,403,fetched
ACAD,2023-05-25,389,fetched
ACCO,2022-02-18,328,fetched
ACDC,2023-03-31,391,fetched
ACDC,2023-05-23,354,fetched
ACDC,2023-05-25,368,fetched
ACDC,2023-05-26,358,fetched
ACDC,2023-06-01,351,fetched
ACDC,2023-06-13,345,fetched
ACDC,2023-06-16,289,fetched
ACDC,2023-10-20,250,fetched
ACDC,2023-10-31,217,fetched
ACDC,2023-11-13,373,fetched
ACET,2021-12-14,285,fetched
ACET,2023-06-30,423,fetched
ACET,2023-07-03,222,fetched
ACET,2024-01-29,437,fetched
ACGL,2022-05-03,390,fetched
ACHR,2021-11-01,574,fetched
ACHR,2021-11-30,450,fetched
ACHR,2022-03-04,408,fetched
ACHR,2022-03-09,414,fetched
ACHR,2022-03-14,410,fetched
ACHR,2023-06-19,0,fetched
ACHR,2023-10-19,491,fetched
ACIC,2023-08-29,249,fetched
ACIC,2023-09-22,134,fetched
ACIC,2023-12-20,183,fetched
ACIC,2023-12-22,214,fetched
ACLX,2022-02-10,157,fetched
ACLX,2022-06-24,195,fetched
ACNB,2021-04-01,16,fetched
ACNB,2022-02-15,14,fetched
ACNB,2022-02-18,26,fetched
ACNB,2022-06-17,73,fetched
ACNB,2022-06-30,59,fetched
ACNB,2022-07-01,35,fetched
