segment,k,global_k_fallback
Biotech_large_high,none,none
Biotech_large_low,none,none
Biotech_micro_high,none,none
Biotech_micro_low,none,none
Biotech_small_high,none,none
Biotech_small_low,2.0,none
Finance_large_high,none,none
Finance_large_low,none,none
Finance_micro_high,none,none
Finance_micro_low,none,none
Finance_small_high,none,none
Finance_small_low,none,none
Other_large_high,none,none
Other_large_low,2.25,none
Other_micro_high,none,none
Other_micro_low,none,none
Other_small_high,none,none
Other_small_low,none,none
Tech_large_high,none,none
Tech_large_low,1.0,none
Tech_micro_high,none,none
Tech_micro_low,1.0,none
Tech_small_high,none,none
Tech_small_low,none,none
