event_key,ticker,trade_date,transaction_date,scored_at,scored_at_et,entry_day,entry_dt_et,entry_price,entry_price_source,exit_dt_et,exit_open_price,ret_2d_open_pct,pred_mean4,estimated_decile_score,equal_weight_raw,score_weight_raw,advice_weight_raw
SOFI|2026-03-02,SOFI,2026-03-02,2026-03-02 15:36:37,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,18.13,minute_close_at_or_after,2026-03-05 09:30:00-0500,18.65,2.868174296745729,0.6524829386661912,0.8820332946041813,1.0,999.6524829386661,0.2731409511618872
SXC|2026-02-26,SXC,2026-02-26,2026-03-02 15:28:45,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,5.91,minute_close_at_or_after,2026-03-05 09:30:00-0500,6.28,6.260575296108284,0.5344676637811095,0.831841473472555,1.0,999.5344676637811,0.25
ABCL|2026-02-27,ABCL,2026-02-27,2026-03-02 14:16:40,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,3.62,minute_close_at_or_after,2026-03-05 09:30:00-0500,3.56,-1.6574585635359185,0.5328897628739213,0.8310047363302209,1.0,999.5328897628739,0.25
RBCAA|2026-02-26,RBCAA,2026-02-26,2026-03-02 13:28:35,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,71.66,minute_close_at_or_after,2026-03-05 09:30:00-0500,69.77,-2.637454646943904,0.1408122158792989,0.35208089730428177,1.0,999.1408122158794,0.25
COFS|2026-02-27,COFS,2026-02-27,2026-03-02 12:45:56,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,28.85,minute_close_at_or_after,2026-03-05 09:30:00-0500,29.39,1.8717504332755652,0.1318594347554298,0.3299806447514578,1.0,999.1318594347555,0.25
PKBK|2026-02-27,PKBK,2026-02-27,2026-03-02 13:18:42,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,27.55,minute_close_at_or_after,2026-03-05 09:30:00-0500,27.8,0.9074410163339319,0.1131575445702596,0.29413995570040896,1.0,999.1131575445703,0.25
TPL|2026-02-27,TPL,2026-02-27,2026-03-02 11:44:46,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,527.53,minute_close_at_or_after,2026-03-05 09:30:00-0500,532.75,0.9895171838568473,-0.2706802129184722,0.024302068779315452,1.0,998.7293197870815,0.25
EHTH|2026-02-27,EHTH,2026-02-27,2026-03-02 16:13:31,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,1.6126,minute_close_at_or_after,2026-03-06 09:30:00-0500,1.63,1.0790028525362594,2.675006805177453,0.9955913181746066,1.0,1001.6750068051774,0.4915217657203972
LRMR|2026-02-27,LRMR,2026-02-27,2026-03-02 16:30:36,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,5.53,minute_close_at_or_after,2026-03-06 09:30:00-0500,5.08,-8.137432188065096,1.9850387414059192,0.9893786605322691,1.0,1000.9850387414059,0.4795743471774405
EDSA|2026-02-26,EDSA,2026-02-26,2026-03-02 17:05:59,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.972,minute_close_at_or_after,2026-03-06 09:30:00-0500,3.64,-26.790024135156887,1.5272442856147113,0.9809485017841146,1.0,1000.5272442856148,0.4633625034309897
EOSE|2026-03-02,EOSE,2026-03-02,2026-03-04 08:56:17,2026-03-04 14:27:10,2026-03-04 09:27:10-0500,2026-03-04,2026-03-04 09:30:00-0500,6.398,minute_close_at_or_after,2026-03-06 09:30:00-0500,6.52,1.906845889340425,1.3608479724365072,0.9751776693951674,1.0,1000.3608479724365,0.4522647488368603
