event_key,ticker,trade_date,transaction_date,scored_at,scored_at_et,entry_day,entry_dt_et,entry_price,entry_price_source,exit_dt_et,exit_open_price,ret_2d_open_pct,pred_mean4,estimated_decile_score,equal_weight_raw,score_weight_raw,advice_weight_raw
SOFI|2026-03-02,SOFI,2026-03-02,2026-03-02 15:36:37,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-03,2026-03-03 09:30:00-0500,18.13,minute_close_at_or_after,2026-03-05 09:30:00-0500,18.65,2.868174296745729,0.6524829386661912,0.8820332946041813,1.0,0.04337035834288783,0.2731409511618872
EHTH|2026-02-27,EHTH,2026-02-27,2026-03-02 16:13:31,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,1.6126,minute_close_at_or_after,2026-03-06 09:30:00-0500,1.63,1.0790028525362594,2.675006805177453,0.9955913181746066,1.0,2.0658942248541496,0.4915217657203972
LRMR|2026-02-27,LRMR,2026-02-27,2026-03-02 16:30:36,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,5.53,minute_close_at_or_after,2026-03-06 09:30:00-0500,5.08,-8.137432188065096,1.9850387414059192,0.9893786605322691,1.0,1.375926161082616,0.4795743471774405
EDSA|2026-02-26,EDSA,2026-02-26,2026-03-02 17:05:59,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.972,minute_close_at_or_after,2026-03-06 09:30:00-0500,3.64,-26.790024135156887,1.5272442856147113,0.9809485017841146,1.0,0.9181317052914079,0.4633625034309897
EOSE|2026-03-02,EOSE,2026-03-02,2026-03-04 08:56:17,2026-03-04 14:27:10,2026-03-04 09:27:10-0500,2026-03-04,2026-03-04 09:30:00-0500,6.398,minute_close_at_or_after,2026-03-06 09:30:00-0500,6.52,1.906845889340425,1.3608479724365072,0.9751776693951674,1.0,0.7517353921132038,0.4522647488368603
ISPR|2026-02-27,ISPR,2026-02-27,2026-03-02 16:58:37,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,2.22,minute_close_at_or_after,2026-03-06 09:30:00-0500,1.88,-15.315315315315326,1.3193183983857144,0.9730765702099291,1.0,0.710205818062411,0.4482241734806329
LAW|2026-02-26,LAW,2026-02-26,2026-03-02 17:22:42,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.27,minute_close_at_or_after,2026-03-06 09:30:00-0500,4.57,7.025761124121788,1.1989625076494057,0.9646918337576496,1.0,0.5898499273261023,0.43209968030317225
CTEV|2026-02-27,CTEV,2026-02-27,2026-03-02 17:01:41,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,17.025,minute_close_at_or_after,2026-03-06 09:30:00-0500,17.5,2.7900146842878115,1.0407135126074512,0.9524073784651118,1.0,0.43160093228414775,0.4084757278175227
XMTR|2026-02-27,XMTR,2026-02-27,2026-03-02 18:15:05,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,41.965,minute_close_at_or_after,2026-03-06 09:30:00-0500,42.79,1.9659239842725995,0.8827942461903598,0.9355999681252651,1.0,0.27368166586705645,0.37615378485627915
GENB|2026-03-02,GENB,2026-03-02,2026-03-02 17:47:29,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,12.16,minute_close_at_or_after,2026-03-06 09:30:00-0500,12.33,1.398026315789469,0.8326831683448644,0.9273704591222012,1.0,0.22357058802156105,0.36032780600423303
TNC|2026-02-26,TNC,2026-02-26,2026-03-02 17:39:23,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,62.66,minute_close_at_or_after,2026-03-06 09:30:00-0500,61.68,-1.5639961698052929,0.8258834840729204,0.9261922739709411,1.0,0.21677090374961705,0.3580620653287328
LFVN|2026-02-26,LFVN,2026-02-26,2026-03-02 18:44:28,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.82,minute_close_at_or_after,2026-03-06 09:30:00-0500,4.6,-4.564315352697113,0.6920667513912506,0.8927810711616935,1.0,0.08295417106794722,0.29380975223402594
CSGP|2026-02-27,CSGP,2026-02-27,2026-03-02 16:00:49,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,47.165,minute_close_at_or_after,2026-03-06 09:30:00-0500,48.36,2.5336584331601797,0.6712732017710659,0.8867199792649578,1.0,0.062160621447762465,0.2821538062787651
