ticker,sector,market_type,is_tradable
..,Unknown,NON_TRADABLE,0
A,Health Care,NYSE,1
AA,Materials,NON_TRADABLE,0
AAC,Unknown,NON_TRADABLE,0
AACOU,Unknown,NASDAQ,1
AADI,Unknown,NON_TRADABLE,0
AAIC,Unknown,NON_TRADABLE,0
AAIR,Unknown,NON_TRADABLE,0
AAL,Industrials,NON_TRADABLE,0
AAM,Unknown,NON_TRADABLE,0
AAMC,Unknown,NON_TRADABLE,0
AAME,Financials,NASDAQ,1
AAN,Unknown,NON_TRADABLE,0
AAOI,Information Technology,NASDAQ,1
AAON,Industrials,NASDAQ,1
AAP,Consumer Discretionary,NYSE,1
AAPC,Unknown,NON_TRADABLE,0
AAPL,Industrials,NON_TRADABLE,0
AARD,Health Care,NASDAQ,1
AASP,Unknown,OTC,1
AAT,Real Estate,NYSE,1
AATC,Unknown,OTC,1
AAVL,Unknown,NON_TRADABLE,0
AAWW,Unknown,NON_TRADABLE,0
AAXN,Unknown,NON_TRADABLE,0
AB,Financials,NYSE,1
ABAX,Unknown,NON_TRADABLE,0
ABBV,Health Care,NON_TRADABLE,0
ABC,Unknown,NON_TRADABLE,0
ABCB,Financials,NYSE,1
ABCD,Unknown,NON_TRADABLE,0
ABCL,Health Care,NASDAQ,1
ABCO,Unknown,NON_TRADABLE,0
ABCP,Unknown,OTC,1
ABDC,Unknown,NON_TRADABLE,0
ABEO,Health Care,NASDAQ,1
ABG,Consumer Discretionary,NYSE,1
ABHD,Unknown,NON_TRADABLE,0
ABIO,Unknown,NON_TRADABLE,0
ABL,Unknown,NON_TRADABLE,0
ABM,Consumer Discretionary,NYSE,1
ABMC,Unknown,NON_TRADABLE,0
ABMD,Unknown,NON_TRADABLE,0
ABOS,Health Care,NASDAQ,1
ABP,Unknown,NON_TRADABLE,0
ABQQ,Unknown,OTC,1
ABR,Real Estate,NYSE,1
ABSI,Industrials,NASDAQ,1
ABST,Unknown,NON_TRADABLE,0
ABT,Health Care,NYSE,1
ABTC,Financials,NASDAQ,1
ABTL,Unknown,NON_TRADABLE,0
ABTX,Unknown,NON_TRADABLE,0
ABUS,Health Care,NON_TRADABLE,0
AC,Unknown,NON_TRADABLE,0
ACA,Industrials,NYSE,1
ACAD,Health Care,NASDAQ,1
ACAT,Unknown,NON_TRADABLE,0
ACAX,Unknown,NON_TRADABLE,0
ACBAU,Unknown,NON_TRADABLE,0
ACBI,Unknown,NON_TRADABLE,0
ACC,Unknown,NON_TRADABLE,0
ACCA,Unknown,NON_TRADABLE,0
ACCD,Unknown,NON_TRADABLE,0
ACCL,Unknown,NON_TRADABLE,0
ACCO,Materials,NYSE,1
ACCS,Industrials,AMEX,1
ACDC,Energy,NASDAQ,1
ACEL,Consumer Discretionary,NYSE,1
ACER,Unknown,NON_TRADABLE,0
ACET,Health Care,NASDAQ,1
ACFC,Unknown,NON_TRADABLE,0
ACFN,Industrials,NASDAQ,1
ACGL,Financials,NASDAQ,1
ACGO,Unknown,NON_TRADABLE,0
ACHC,Health Care,NON_TRADABLE,0
ACHI,Unknown,NON_TRADABLE,0
ACHN,Unknown,NON_TRADABLE,0
ACHR,Industrials,NYSE,1
ACHV,Health Care,NASDAQ,1
ACI,Consumer Discretionary,NON_TRADABLE,0
ACIC,Financials,NASDAQ,1
ACIW,Information Technology,NASDAQ,1
ACKIU,Unknown,NON_TRADABLE,0
ACLS,Industrials,NASDAQ,1
ACLX,Health Care,NASDAQ,1
ACLZ,Unknown,NON_TRADABLE,0
ACM,Industrials,NON_TRADABLE,0
ACMP,Unknown,NON_TRADABLE,0
ACN,Consumer Discretionary,NON_TRADABLE,0
ACNB,Financials,NASDAQ,1
ACNT,Materials,NASDAQ,1
ACOG,Health Care,NASDAQ,1
ACON,Health Care,NASDAQ,1
ACOR,Unknown,NON_TRADABLE,0
ACPW,Unknown,NON_TRADABLE,0
ACR,Real Estate,NYSE,1
ACRE,Real Estate,NYSE,1
ACRG.,Unknown,NON_TRADABLE,0
ACRI,Unknown,NON_TRADABLE,0
ACRS,Health Care,NASDAQ,1
ACRT,Unknown,NON_TRADABLE,0
ACRV,Health Care,NASDAQ,1
ACRX,Unknown,NON_TRADABLE,0
ACST,Unknown,NON_TRADABLE,0
ACT,Financials,NASDAQ,1
ACTA,Unknown,NON_TRADABLE,0
ACTG,Real Estate,NASDAQ,1
ACTU,Health Care,NASDAQ,1
ACU,Industrials,AMEX,1
ACUR,Unknown,NON_TRADABLE,0
ACUT,Unknown,OTC,1
ACVA,Consumer Discretionary,NYSE,1
ACW,Unknown,NON_TRADABLE,0
ACXM,Unknown,NON_TRADABLE,0
ACXP,Health Care,NASDAQ,1
ACY,Unknown,NON_TRADABLE,0
ADAP,Unknown,NON_TRADABLE,0
ADAT,Unknown,NON_TRADABLE,0
ADBE,Information Technology,NASDAQ,1
ADC,Real Estate,NYSE,1
ADCT,Health Care,NYSE,1
ADEP,Unknown,NON_TRADABLE,0
ADES,Unknown,NON_TRADABLE,0
ADEX.,Unknown,NON_TRADABLE,0
ADF,Unknown,NON_TRADABLE,0
ADFS,Unknown,NON_TRADABLE,0
ADGE,Unknown,NON_TRADABLE,0
ADGI,Unknown,NON_TRADABLE,0
ADGL,Unknown,NON_TRADABLE,0
ADGM,Health Care,NASDAQ,1
ADI,Information Technology,NASDAQ,1
ADIL,Health Care,NASDAQ,1
ADK,Unknown,NON_TRADABLE,0
ADM,Consumer Staples,NYSE,1
ADMA,Health Care,NASDAQ,1
ADMD,Unknown,NON_TRADABLE,0
ADMP,Unknown,NON_TRADABLE,0
ADMQ,Unknown,OTC,1
ADMS,Unknown,NON_TRADABLE,0
ADNC,Unknown,NON_TRADABLE,0
ADNT,Consumer Discretionary,NON_TRADABLE,0
ADOC,Unknown,NON_TRADABLE,0
ADOM,Unknown,NON_TRADABLE,0
ADPT,Health Care,NON_TRADABLE,0
ADRO,Unknown,NON_TRADABLE,0
ADS,Unknown,NON_TRADABLE,0
ADSK,Information Technology,NASDAQ,1
ADSW,Unknown,NON_TRADABLE,0
ADT,Consumer Discretionary,NYSE,1
ADTN,Information Technology,NASDAQ,1
ADTX,Health Care,NASDAQ,1
ADUS,Health Care,NON_TRADABLE,0
ADV,Consumer Discretionary,NASDAQ,1
ADVM,Unknown,NON_TRADABLE,0
ADXS,Unknown,NON_TRADABLE,0
