candidate_id,ticker,status,signal_score,estimated_decile_score,sleeve_id,entry_bucket,entry_trade_day,intended_entry_at,expires_at,replacement_for_lot_id,last_reason,last_updated_at
APCX|2026-03-04|2026-03-08 14:52:23,APCX,expired,2.397292374202425,0.9932967719186216,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
FBLG|2026-03-02|2026-03-08 14:52:23,FBLG,filled,1.9069251149727489,0.9876402909465058,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,,2026-03-09T13:33:42Z
SABR|2026-02-27|2026-03-08 14:52:23,SABR,filled,1.8459859942526404,0.986665083343003,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,,2026-03-09T13:36:34Z
ABTC|2026-03-03|2026-03-08 14:52:23,ABTC,filled,1.6363958610902496,0.9825156656686638,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
AIRS|2026-03-03|2026-03-08 14:52:23,AIRS,filled,1.51128651793098,0.979277147628608,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
EOSE|2026-03-02|2026-03-08 14:52:23,EOSE,filled,1.3608479724365072,0.9731835613599336,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
LAW|2026-02-27|2026-03-08 14:52:23,LAW,filled,1.3551245182833975,0.9729391293971384,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
KDOZF|2026-03-03|2026-03-08 14:52:23,KDOZF,expired,1.3276297152698788,0.971764906893126,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
SSP|2026-03-03|2026-03-08 14:52:23,SSP,filled,1.2887615410779183,0.9701049610188592,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
THRY|2026-02-27|2026-03-08 14:52:23,THRY,filled,1.2887323321128736,0.9701037135895156,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
