candidate_id,ticker,owner_name,title,entry_trade_day,transaction_date,trade_date,buy_datetime,buy_price,last_price,value,live_entry_bucket,prev_regular_close,live_gap_to_entry_pct,current_prod4_score,baseline_replay_score,gap_feature_replay_score,gap_score_delta,current_prod4_rank,baseline_replay_rank,gap_feature_replay_rank,rank_change_gap_vs_baseline,actually_traded,actual_status,sleeve_id
SABR|2026-02-27|2026-03-08 14:52:23,SABR,Constellation Software Inc,10%,2026-03-09,2026-03-03 17:32:25,2026-02-27 00:00:00,2026-03-09 09:30:00,1.54,$1.16,"+$12,341,572",open,1.59,-3.1446540880503138,1.8459859942526404,2.4968747995392393,2.7602305600277393,0.26335576048849996,3,1,1,0,True,filled,sleeve_1
FBLG|2026-03-02|2026-03-08 14:52:23,FBLG,O'Heeron Pete,CEO,2026-03-09,2026-03-04 17:50:10,2026-03-02 00:00:00,2026-03-09 09:30:00,0.4215,$0.38,"+$19,531",open,0.435,-3.103448275862075,1.9069251149727489,1.7867509297918325,2.233349685914309,0.44659875612247646,2,6,2,4,True,filled,sleeve_1
QSI|2026-03-05|2026-03-09 10:52:46,QSI,Kummeth Charles R.,Dir,2026-03-09,2026-03-09 06:01:59,2026-03-05 00:00:00,2026-03-09 09:30:00,0.87,$0.92,"+$459,800",open,0.8618,0.9514968670225166,1.663856824708849,2.3506801062437432,2.1855720725735184,-0.16510803367022486,4,2,3,-1,True,filled,sleeve_1
ABTC|2026-03-03|2026-03-08 14:52:23,ABTC,Mateen Justin,Dir,2026-03-09,2026-03-05 06:30:05,2026-03-03 00:00:00,2026-03-09 09:30:00,1.11,$1.03,"+$1,854,000",open,1.09,1.8348623853211121,1.6363958610902496,2.0736081199121763,1.9097907679084156,-0.16381735200376069,5,3,4,-1,True,filled,sleeve_1
TTEC|2026-03-02|2026-03-08 14:52:23,TTEC,Holtzman Marc,Dir,2026-03-09,2026-03-04 18:09:45,2026-03-02 00:00:00,2026-03-09 09:30:00,2.6263,$2.34,"+$234,040",open,2.72,-3.4448529411764794,0.9182980785018036,1.0732657828228498,1.6274875750082431,0.5542217921853934,21,21,5,16,True,filled,sleeve_1
ABSI|2026-02-27|2026-03-08 14:52:23,ABSI,Pangalos Menelas N,Dir,2026-03-09,2026-03-03 16:13:20,2026-02-27 00:00:00,2026-03-09 09:30:00,2.38,$2.74,"+$205,760",open,2.38,0.0,0.7600208979586349,1.607828506953339,1.4523480255299321,-0.15548048142340676,33,11,6,5,False,,
NAUT|2026-03-04|2026-03-08 14:52:23,NAUT,Patel Sujal M,"CEO, Pres,, Secretary, 10%",2026-03-09,2026-03-04 18:37:20,2026-03-04 00:00:00,2026-03-09 09:30:00,2.44,$2.61,"+$65,238",open,2.47,-1.2145748987854366,1.171043084011092,1.4433916756632197,1.4464725264220972,0.0030808507588775402,14,14,7,7,True,filled,sleeve_1
EOSE|2026-03-02|2026-03-08 14:52:23,EOSE,Dimitrief Alexander,Dir,2026-03-09,2026-03-04 08:56:17,2026-03-02 00:00:00,2026-03-09 09:30:00,6.16,$6.04,"+$90,600",open,6.13,0.4893964110929794,1.3608479724365072,1.7485854012639013,1.4359699124788503,-0.31261548878505097,7,7,8,-1,True,filled,sleeve_1
APCX|2026-03-04|2026-03-08 14:52:23,APCX,Derosa Thomas Joseph,CEO,2026-03-09,2026-03-05 16:58:08,2026-03-04 00:00:00,2026-03-09 09:30:00,0.31,$0.33,"+$3,299",open,0.31,0.0,2.397292374202425,2.0017355305236704,1.3847558285422341,-0.6169797019814363,1,4,9,-5,False,,
AIRS|2026-03-03|2026-03-08 14:52:23,AIRS,Chernett Jorey,10%,2026-03-09,2026-03-04 18:58:41,2026-03-03 00:00:00,2026-03-09 09:30:00,2.15,$1.75,"+$192,900",open,2.09,2.8708133971291794,1.51128651793098,1.7387463086052608,1.3728692173824961,-0.3658770912227647,6,8,10,-2,True,filled,sleeve_1
RUN|2026-03-03|2026-03-08 14:52:23,RUN,Ferber Alan,Dir,2026-03-09,2026-03-04 16:06:55,2026-03-03 00:00:00,2026-03-09 09:30:00,11.24,$11.92,"+$149,029",open,11.34,-0.8818342151675429,0.8797799543079555,1.5438578988786662,1.2733710972230197,-0.27048680165564654,24,13,11,2,True,filled,sleeve_1
APCX|2026-02-27|2026-03-08 14:52:23,APCX,Lord Albert L,Dir,2026-03-09,2026-03-03 18:23:42,2026-02-27 00:00:00,2026-03-09 09:30:00,0.31,$0.31,"+$31,350",open,0.31,0.0,1.2369529840699018,1.5660961988027484,1.2688790207813014,-0.297217178021447,12,12,12,0,False,,
CMTG|2026-02-27|2026-03-08 14:52:23,CMTG,Mack Richard,"CEO, COB",2026-03-09,2026-03-03 19:26:03,2026-02-27 00:00:00,2026-03-09 09:30:00,2.504,$2.41,"+$120,355",open,2.62,-4.427480916030535,0.7222707788640228,0.9238101420429276,1.2277586722938025,0.303948530250875,39,27,13,14,False,,
NRGV|2026-03-04|2026-03-08 14:52:23,NRGV,Ertel Thomas R,Dir,2026-03-09,2026-03-05 11:53:24,2026-03-04 00:00:00,2026-03-09 09:30:00,3.0,$3.37,"+$18,366",intraday,3.02,-0.6622516556291425,0.9176127108317272,1.4389683726271194,1.2044000050923467,-0.23456836753477273,22,15,14,1,True,filled,sleeve_1
THRY|2026-02-27|2026-03-08 14:52:23,THRY,Paulson & Co. Inc.,10%,2026-03-09,2026-03-03 21:06:08,2026-02-27 00:00:00,2026-03-09 09:30:00,3.18,$2.50,"+$6,100,453",open,3.18,0.0,1.2887323321128736,0.9884472526595545,1.1685174522520865,0.180070199592532,11,25,15,10,True,filled,sleeve_1
ALT|2026-03-06|2026-03-09 12:01:42,ALT,Weaver Gregory L,CFO,2026-03-09,2026-03-09 07:05:04,2026-03-06 00:00:00,2026-03-09 09:30:00,3.59,$3.54,"+$17,700",open,3.54,1.412429378531077,1.051160883133149,1.1107459742768162,1.1364346433340722,0.025688669057255975,18,20,16,4,False,,
HYMC|2026-03-04|2026-03-08 14:52:23,HYMC,Sprott Eric,10%,2026-03-09,2026-03-05 16:27:05,2026-03-04 00:00:00,2026-03-09 09:30:00,37.89,$47.58,"+$4,758,000",open,38.79,-2.3201856148491795,1.1729085078812869,1.2679610479833916,1.1117353353613932,-0.15622571262199836,13,17,17,0,True,filled,sleeve_1
