feature,avg_delta_top_decile,avg_delta_spread,avg_delta_win_rate,improved_horizons,degraded_horizons,coverage,recommendation
days_since_last_buy_any,0.09283150962857237,0.04841917582700926,0.0034245972993297846,2,2,0.8085521885521886,test_further
days_since_last_buy_same_ticker,0.0674838405904725,0.1386277834883738,0.003424597299329757,2,2,0.7647138047138047,test_further
same_ticker_insider_count_365d,0.0398990324091039,0.16691103006958083,0.0034214997521961887,2,2,1.0,test_further
filing_hour_et,0.03891346747851144,0.07661758941740834,-0.010172413186600143,2,2,1.0,test_further
cluster_buy,0.0,0.0,0.0,0,0,1.0,skip_for_now
ticker_buy_count_90d,-0.010264012089078595,0.04831663030857215,-0.01271782498643724,2,2,1.0,skip_for_now
insider_bought_ticker,-0.017674689245082052,-0.00018604398834454194,-0.010178256508952988,1,3,1.0,skip_for_now
momentum_slope,-0.04445306163289274,0.10414679877071249,-0.01693501326570973,2,2,0.9577777777777777,skip_for_now
is_after_close,-0.07138161129392114,-0.021224419728927774,-0.015288945450338418,0,3,1.0,skip_for_now
value_per_share_delta,-0.07268889365305839,0.14240017968619773,-0.019494622970862338,1,3,0.9905723905723905,skip_for_now
ticker_buy_count_30d,-0.09589873765016631,-0.003515124042276288,0.0025912789488742594,2,2,1.0,skip_for_now
filing_weekday,-0.0982517036010559,-0.06797417583890025,-0.016142246399809865,0,4,1.0,skip_for_now
qty_log,-0.12053792070522712,-0.1802294956412699,-0.010152371958931816,2,2,0.9989225589225589,skip_for_now
market_relative_5d,-0.17626254734624497,0.004950534260740352,-0.01691193311956024,1,3,0.9776430976430976,skip_for_now
overnight_gap_to_entry,-0.18788239622531946,-0.13144309450972297,-0.004202873116652295,2,2,0.9981144781144781,skip_for_now
open_to_buy_move,-0.2060503732880924,-0.21210328167178236,-0.015228704510028626,1,3,1.0,skip_for_now
vol_regime,-0.2573524372612977,-0.19082629678131235,-0.027107426452309888,1,3,0.9749494949494949,skip_for_now
