scenario,avg_top_decile_mean,avg_decile_spread,avg_top_decile_win_rate,avg_r2_test,avg_delta_top_decile_mean,avg_delta_decile_spread
plus_all_candidates,1.2955669005265904,1.547980951361839,0.5631506412411138,0.015430643555130491,0.20325178194068969,0.43680191937339996
plus_days_since_last_buy_any,1.1851466282144731,1.1595982078154483,0.5554889903208003,-0.0008218865297397182,0.09283150962857237,0.04841917582700926
plus_days_since_last_buy_same_ticker,1.1597989591763733,1.249806815476813,0.5554889903208003,0.0008660394878057254,0.0674838405904725,0.1386277834883738
plus_same_ticker_insider_count_365d,1.1322141509950048,1.27809006205802,0.5554858927736668,-0.003159385489229838,0.0398990324091039,0.16691103006958083
plus_filing_hour_et,1.1312285860644122,1.1877966214058475,0.5418919798348705,-0.008926545218627041,0.03891346747851144,0.07661758941740834
baseline,1.0923151185859008,1.1111790319884391,0.5520643930214706,-0.009385981248526604,0.0,0.0
plus_cluster_buy,1.0923151185859008,1.1111790319884391,0.5520643930214706,-0.009385981248526604,0.0,0.0
plus_ticker_buy_count_90d,1.0820511064968221,1.1594956622970112,0.5393465680350333,0.00029752301760307964,-0.010264012089078595,0.04831663030857215
plus_insider_bought_ticker,1.0746404293408187,1.1109929880000946,0.5418861365125176,-0.008849439716659468,-0.017674689245082052,-0.00018604398834454194
plus_momentum_slope,1.0478620569530082,1.2153258307591517,0.5351293797557608,-0.01143276864303644,-0.04445306163289274,0.10414679877071249
plus_is_after_close,1.0209335072919796,1.0899546122595114,0.5367754475711322,-0.010998064881386022,-0.07138161129392114,-0.021224419728927774
plus_value_per_share_delta,1.0196262249328425,1.253579211674637,0.5325697700506082,-0.007093126391328475,-0.07268889365305839,0.14240017968619773
plus_ticker_buy_count_30d,0.9964163809357345,1.1076639079461628,0.5546556719703448,-0.002398716159693698,-0.09589873765016631,-0.003515124042276288
plus_filing_weekday,0.994063414984845,1.0432048561495388,0.5359221466216607,-0.008311579117826595,-0.0982517036010559,-0.06797417583890025
plus_qty_log,0.9717771978806737,0.9309495363471693,0.5419120210625388,-0.007818362290332836,-0.12053792070522712,-0.1802294956412699
plus_market_relative_5d,0.9160525712396559,1.1161295662491795,0.5351524599019104,-0.009741546694539666,-0.17626254734624497,0.004950534260740352
plus_overnight_gap_to_entry,0.9044327223605814,0.9797359374787161,0.5478615199048182,-0.002236128335944665,-0.18788239622531946,-0.13144309450972297
plus_open_to_buy_move,0.8862647452978084,0.8990757503166568,0.5368356885114419,-0.010214109082887224,-0.2060503732880924,-0.21210328167178236
plus_vol_regime,0.8349626813246032,0.9203527352071268,0.5249569665691607,-0.008044214835195546,-0.2573524372612977,-0.19082629678131235
