horizon_days,target,decile,n,mean_pred,mean_actual,pct_pos_actual
1,return_1d_pct,1,296,0.022714410607223637,0.4776277027027027,55.74324324324324
1,return_1d_pct,2,296,0.22695378673943045,0.2614064189189189,52.02702702702703
1,return_1d_pct,3,296,0.3182949762027528,0.18516461148648652,52.02702702702703
1,return_1d_pct,4,296,0.4004943597855676,0.49851224662162175,58.445945945945944
1,return_1d_pct,5,296,0.4885346701109195,0.4940065878378378,51.01351351351351
1,return_1d_pct,6,296,0.5862810737771026,0.1256642736486486,50.67567567567568
1,return_1d_pct,7,296,0.7140158695161096,0.6315537162162161,54.054054054054056
1,return_1d_pct,8,296,0.8988554894925319,0.4404805743243243,49.66216216216216
1,return_1d_pct,9,296,1.1858610552337612,1.4558890202702703,51.01351351351351
1,return_1d_pct,10,301,2.2269864229427276,2.829816445182724,58.4717607973422
3,return_3d_pct,1,295,-0.4178568791540483,0.22181245084745696,47.11864406779661
3,return_3d_pct,2,295,0.01657915180729783,1.1392904711864402,58.98305084745763
3,return_3d_pct,3,295,0.1688623889776587,0.9739166101694916,55.932203389830505
3,return_3d_pct,4,295,0.3041545331974811,0.5077915254237287,56.949152542372886
3,return_3d_pct,5,295,0.43947651695788836,0.33157317627118615,52.20338983050847
3,return_3d_pct,6,295,0.5952723886450919,0.37472506101694897,48.8135593220339
3,return_3d_pct,7,295,0.8100473609439321,1.0339426610169486,52.20338983050847
3,return_3d_pct,8,295,1.1724200646145793,2.2247290745762696,58.30508474576271
3,return_3d_pct,9,295,1.7470006680734056,0.7544269830508458,47.79661016949153
3,return_3d_pct,10,303,3.5470986383084524,2.9953654290429017,56.76567656765676
5,return_5d_pct,1,295,-0.7043075807136392,-0.3496274372881358,48.8135593220339
5,return_5d_pct,2,295,-0.059988150280420253,0.6495977220338984,52.54237288135594
5,return_5d_pct,3,295,0.17796381110931953,0.5825953423728812,53.22033898305085
5,return_5d_pct,4,295,0.3557585929136319,0.06687339661016954,49.152542372881356
5,return_5d_pct,5,295,0.5244530711619608,1.3665820338983052,56.271186440677965
5,return_5d_pct,6,295,0.7045314671301196,1.7175468813559318,59.66101694915255
5,return_5d_pct,7,295,0.9445275909380421,1.8916818847457626,53.22033898305085
5,return_5d_pct,8,295,1.3034267780978248,1.94855587118644,53.559322033898304
5,return_5d_pct,9,295,1.980332830925935,1.559162481355932,50.16949152542372
5,return_5d_pct,10,296,3.928020483382057,3.1337623175675664,53.71621621621622
10,return_10d_pct,1,293,-1.732365227556209,-0.3403630546075098,50.170648464163826
10,return_10d_pct,2,293,-0.31998713632017306,0.7117061843003409,48.80546075085324
10,return_10d_pct,3,293,0.1139008421515372,0.7303948805460752,52.55972696245734
10,return_10d_pct,4,293,0.42472216143867386,2.2966356894197943,57.67918088737202
10,return_10d_pct,5,293,0.7217253444071039,1.625661433447099,56.996587030716725
10,return_10d_pct,6,293,1.0274577585936018,2.46202442662116,56.655290102389074
10,return_10d_pct,7,293,1.4301651632468113,1.5613885665529001,52.901023890784984
10,return_10d_pct,8,293,2.0031044497113277,2.763713266211603,56.31399317406144
10,return_10d_pct,9,293,2.934882121055907,2.283861993174059,48.122866894197955
10,return_10d_pct,10,295,5.5551265380429165,2.8925608440677943,49.83050847457628
