model,feature,importance_mean,importance_std,rank
HGBR,log_buy_price,0.052889483247729976,0.008533009116517751,1
HGBR,live_gap_to_entry_pct,0.027675323398646513,0.004609526338867718,2
HGBR,log_value_usd,0.025053929403871144,0.0036552134458461435,3
HGBR,prior_30d_vol,0.010229732584572205,0.0023315958731004046,4
HGBR,prior_30d_pct,0.00993504033546717,0.0018281730827642366,5
HGBR,same_ticker_insider_count_365d,0.00972065260071835,0.001915868000966813,6
HGBR,price_drift_filing_pct,0.008068379458653841,0.0027678757352603872,7
HGBR,prior_5d_pct,0.006144944408448172,0.0019881206944157483,8
HGBR,days_since_last_buy_same_ticker,0.004521468363480885,0.0020812602178015426,9
HGBR,days_since_last_buy_any,0.002178590806911895,0.0013819760469971087,10
HGBR,prior_10d_pct,0.0017612900249216247,0.0017258293094934856,11
HGBR,is_officer,0.00041873764930731026,0.0003110007246782483,12
HGBR,n_insiders_x_director,0.0002476817809306198,0.0002082714939708574,13
HGBR,n_insiders_x_10pct,0.0002311285101506577,0.00010590693446851773,14
HGBR,is_10pct,0.00015666621948708936,0.0006260933570513314,15
HGBR,is_director,2.7209398439964615e-05,0.00024616789064953426,16
HGBR,n_insiders_in_cluster,-0.00010511963954780157,0.0019093857726243473,17
HGBR,prior_5d_vol,-0.00014948978645250576,0.0012766605973403584,18
HGBR,filing_gap_days,-0.0005302829108466689,0.0006598810665103989,19
HGBR,officer_type_enc,-0.0006024590828975996,0.000666484102001834,20
HGBR,n_insiders_x_officer,-0.0006551366663150482,0.0005094576482732373,21
HGBR,filing_hour_et,-0.0007848521276383024,0.000703788904999944,22
HGBR,market_type_enc,-0.0009699417232213569,0.0002800642429465114,23
HGBR,insider_prior_buys_log,-0.0014841804458159303,0.0013919602850832834,24
HGBR,prior_10d_vol,-0.0027781144119289,0.0010324652130184258,25
HGBR,sector_enc,-0.003651504628409086,0.0017520598345065084,26
XGBoost,log_buy_price,0.036797030821115406,0.006092179700210515,1
XGBoost,live_gap_to_entry_pct,0.017407424578617547,0.004255806217569673,2
XGBoost,log_value_usd,0.014041382985873785,0.0033765353662135135,3
XGBoost,prior_30d_vol,0.011121477898745269,0.0022819477394714145,4
XGBoost,same_ticker_insider_count_365d,0.005461269915516187,0.0015860212154606874,5
XGBoost,prior_30d_pct,0.003950540509964728,0.00043157478618696405,6
XGBoost,prior_5d_pct,0.0024761221476688354,0.0025883265684437185,7
XGBoost,price_drift_filing_pct,0.0015904727575930977,0.001693651827024582,8
XGBoost,n_insiders_in_cluster,0.0014634069214845447,0.0009579672660081971,9
XGBoost,days_since_last_buy_any,0.0011583325971602498,0.0013034596297047795,10
XGBoost,prior_10d_pct,0.00110861725557454,0.001708473299475351,11
XGBoost,days_since_last_buy_same_ticker,0.0010581346373274235,0.0019776130680149604,12
XGBoost,insider_prior_buys_log,0.0007189078858167441,0.0009139243312643549,13
XGBoost,n_insiders_x_officer,0.0003747637083281852,0.0001465857816953773,14
XGBoost,filing_hour_et,0.00028390014376658004,0.0015139351226514572,15
XGBoost,filing_gap_days,0.00012982007540571772,0.00026637757076116174,16
XGBoost,officer_type_enc,3.945870008115193e-05,0.0009599591682301348,17
XGBoost,is_10pct,0.0,0.0,18
XGBoost,is_director,0.0,0.0,19
XGBoost,n_insiders_x_director,-0.00013215522826852676,0.00018126768063306942,20
XGBoost,market_type_enc,-0.00018542762565108007,0.00021074927856109553,21
XGBoost,is_officer,-0.0002570563216546695,0.00035198952953665414,22
XGBoost,n_insiders_x_10pct,-0.0004277345188354431,0.00028745611071200755,23
XGBoost,sector_enc,-0.0006209753046265476,0.0017346297775882385,24
XGBoost,prior_10d_vol,-0.0011566532689836428,0.0008657767976606058,25
XGBoost,prior_5d_vol,-0.0015962051535742816,0.002982971965925048,26
