scenario,horizon,n_rows,n_train,n_test,r2,mae,rmse,dir_acc,dec_spread,prec_pos,prec_gt2_pos,test_owned_missing_rate,missing_test_rmse,present_test_rmse,missing_test_dir_acc,present_test_dir_acc,baseline_r2,baseline_mae,baseline_rmse,baseline_dir_acc,baseline_dec_spread,baseline_prec_pos,baseline_prec_gt2_pos,delta_vs_baseline_r2,delta_vs_baseline_mae,delta_vs_baseline_rmse,delta_vs_baseline_dir_acc,delta_vs_baseline_dec_spread,delta_vs_baseline_prec_pos,delta_vs_baseline_prec_gt2_pos
baseline,10d,12093,9674,2419,0.01718653315537577,0.8444168213860146,1.21910625490975,0.5502273666804465,0.8197828286085433,0.53,0.0,0.3538652335675899,1.3340265067669412,1.1513173222280824,0.5432242990654206,0.5540626999360204,0.01718653315537577,0.8444168213860146,1.21910625490975,0.5502273666804465,0.8197828286085433,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_case,10d,7672,6137,1535,0.011653870949969503,0.8527690764638076,1.2393924106788468,0.5413680781758957,0.5895780984238197,0.533256880733945,0.0,0.0,,1.2393924106788468,,0.5413680781758957,0.01718653315537577,0.8444168213860146,1.21910625490975,0.5502273666804465,0.8197828286085433,0.53,0.0,-0.005532662205406269,0.008352255077793025,0.02028615576909676,-0.008859288504550755,-0.23020473018472365,0.0032568807339449224,0.0
no_ownership_feature,10d,12093,9674,2419,0.019321961232159013,0.8452158647479674,1.2177811156781815,0.5601488218272013,0.7910614261682152,0.5412371134020618,1.0,0.3538652335675899,1.3281624902591642,1.152858835404096,0.5782710280373832,0.5502239283429302,0.01718653315537577,0.8444168213860146,1.21910625490975,0.5502273666804465,0.8197828286085433,0.53,0.0,0.002135428076783241,0.0007990433619528003,-0.0013251392315685173,0.009921455146754798,-0.02872140244032817,0.011237113402061794,1.0
baseline,1d,12206,9764,2442,0.03755638056618027,4.0338919605934604,6.022059467623384,0.5278460278460279,3.7045807424540262,0.525,0.5688888888888889,0.35176085176085176,6.548132844686864,5.716362755086184,0.5157159487776485,0.5344283006948831,0.03755638056618027,4.0338919605934604,6.022059467623384,0.5278460278460279,3.7045807424540262,0.525,0.5688888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_case,1d,7746,6196,1550,0.0030101252685130753,3.6669153027400205,5.33407187006075,0.5548387096774193,1.7574828751701115,0.5525400139178844,0.5909090909090909,0.0,,5.33407187006075,,0.5548387096774193,0.03755638056618027,4.0338919605934604,6.022059467623384,0.5278460278460279,3.7045807424540262,0.525,0.5688888888888889,-0.034546255297667194,-0.3669766578534399,-0.6879875975626337,0.026992681831391474,-1.9470978672839148,0.02754001391788441,0.02202020202020205
no_ownership_feature,1d,12206,9764,2442,0.04708156044558043,4.017709853469756,5.992185597985472,0.5352170352170352,4.7068420077637825,0.5296296296296297,0.5714285714285714,0.35176085176085176,6.511314311477407,5.690698432022849,0.529685681024447,0.5382185723310171,0.03755638056618027,4.0338919605934604,6.022059467623384,0.5278460278460279,3.7045807424540262,0.525,0.5688888888888889,0.009525179879400159,-0.01618210712370427,-0.029873869637912165,0.0073710073710073765,1.0022612653097562,0.00462962962962965,0.0025396825396825085
baseline,3d,12179,9743,2436,0.01420823534197524,1.7650854996019438,2.557558191567237,0.5201149425287356,1.1415617953846289,0.5199778024417314,0.6666666666666666,0.3587848932676519,2.6265630132141116,2.5181223871356666,0.5503432494279176,0.5032010243277849,0.01420823534197524,1.7650854996019438,2.557558191567237,0.5201149425287356,1.1415617953846289,0.5199778024417314,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_case,3d,7729,6183,1546,0.013505139824401602,1.7358710169497966,2.511362201900507,0.5038809831824063,0.7530209656654748,0.5048835462058603,0.7391304347826086,0.0,,2.511362201900507,,0.5038809831824063,0.01420823534197524,1.7650854996019438,2.557558191567237,0.5201149425287356,1.1415617953846289,0.5199778024417314,0.6666666666666666,-0.0007030955175736375,-0.02921448265214721,-0.046195989666729886,-0.01623395934632932,-0.38854082971915405,-0.015094256235871129,0.07246376811594202
no_ownership_feature,3d,12179,9743,2436,0.022858430202706614,1.762789341957575,2.5463123463148203,0.5270935960591133,1.3344604873685382,0.521570528356762,0.8421052631578947,0.3587848932676519,2.6318540881005834,2.4971702166277336,0.5331807780320366,0.5236875800256082,0.01420823534197524,1.7650854996019438,2.557558191567237,0.5201149425287356,1.1415617953846289,0.5199778024417314,0.6666666666666666,0.008650194860731375,-0.002296157644368746,-0.011245845252416675,0.006978653530377743,0.1928986919839093,0.0015927259150305684,0.17543859649122806
baseline,5d,12159,9727,2432,0.011065432388174035,1.2752331766352223,1.8638823338346993,0.5493421052631579,1.0626986030001269,0.5693379790940767,0.8,0.36101973684210525,1.9460454890706065,1.8158177781009506,0.5637813211845103,0.5411840411840412,0.011065432388174035,1.2752331766352223,1.8638823338346993,0.5493421052631579,1.0626986030001269,0.5693379790940767,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
