split,model,bucket,rows,mean_prob,actual_rate
validation,ensemble_calibrated,1,144,0.053933700038432925,0.013888888888888888
validation,ensemble_calibrated,2,144,0.054731852492262575,0.006944444444444444
validation,ensemble_calibrated,3,144,0.05544617600065885,0.034722222222222224
validation,ensemble_calibrated,4,144,0.056225015441652024,0.013888888888888888
validation,ensemble_calibrated,5,144,0.05722359524212468,0.0625
validation,ensemble_calibrated,6,144,0.0587148906355747,0.04861111111111111
validation,ensemble_calibrated,7,144,0.06141865086016799,0.041666666666666664
validation,ensemble_calibrated,8,144,0.06833380599223518,0.11805555555555555
validation,ensemble_calibrated,9,144,0.08816022415583172,0.1388888888888889
validation,ensemble_calibrated,10,153,0.17143712071054978,0.24183006535947713
test,ensemble_calibrated,1,120,0.054117549293417624,0.0
test,ensemble_calibrated,2,120,0.05481391194820184,0.0
test,ensemble_calibrated,3,120,0.05542311248371071,0.016666666666666666
test,ensemble_calibrated,4,120,0.05618589579450021,0.008333333333333333
test,ensemble_calibrated,5,120,0.05710041611416785,0.016666666666666666
test,ensemble_calibrated,6,120,0.0584475847843814,0.05
test,ensemble_calibrated,7,120,0.06093143864470119,0.05
test,ensemble_calibrated,8,120,0.06614309374560878,0.09166666666666666
test,ensemble_calibrated,9,120,0.08165639987216768,0.11666666666666667
test,ensemble_calibrated,10,121,0.19085724048765226,0.3305785123966942
validation,metadata_baseline,1,144,0.05344136712086912,0.125
validation,metadata_baseline,2,144,0.0768679702167556,0.05555555555555555
validation,metadata_baseline,3,144,0.0772598912621372,0.10416666666666667
validation,metadata_baseline,4,144,0.08067306803397603,0.027777777777777776
validation,metadata_baseline,5,144,0.08179605096716244,0.06944444444444445
validation,metadata_baseline,6,144,0.08240635407908492,0.034722222222222224
validation,metadata_baseline,7,144,0.14007118665521967,0.1388888888888889
validation,metadata_baseline,8,144,0.1620604353784033,0.05555555555555555
validation,metadata_baseline,9,144,0.1626171974455142,0.027777777777777776
validation,metadata_baseline,10,153,0.20273686500475224,0.0915032679738562
test,metadata_baseline,1,120,0.05257653696646643,0.058333333333333334
test,metadata_baseline,2,120,0.07660758904253513,0.09166666666666666
test,metadata_baseline,3,120,0.07691631659236618,0.041666666666666664
test,metadata_baseline,4,120,0.07720025209174342,0.05
test,metadata_baseline,5,120,0.0776576518591938,0.016666666666666666
test,metadata_baseline,6,120,0.0814935407204293,0.06666666666666667
test,metadata_baseline,7,120,0.08172953113938194,0.08333333333333333
test,metadata_baseline,8,120,0.08215351630703277,0.025
test,metadata_baseline,9,120,0.12045904424737644,0.13333333333333333
test,metadata_baseline,10,121,0.18680433758743137,0.11570247933884298
