model,feature,importance_mean,importance_std,rank
HGB,sector_enc,0.0009054766998102898,0.0006174446169260814,1
HGB,n_insiders_in_cluster,0.00035258980650573757,6.857296225535979e-05,2
HGB,days_since_last_buy_same_ticker,0.000257869616072548,0.0001259240987870809,3
HGB,snapshot_day_idx,0.00011939421941396522,0.0007021014296004712,4
HGB,insider_prior_buys_log,6.794211244225967e-05,0.0001494661058600318,5
HGB,is_10pct,3.208400802111322e-05,3.7511143237832206e-05,6
HGB,snapshot_is_open,2.570087343490568e-05,4.2183174201761366e-05,7
HGB,n_insiders_x_director,1.382322450188822e-05,2.370535276570113e-05,8
HGB,is_officer,6.906428574757206e-06,2.036870657778574e-05,9
HGB,n_insiders_x_officer,2.3311694031608044e-06,4.860943713137107e-06,10
HGB,n_insiders_x_10pct,0.0,0.0,11
HGB,return_since_first_snapshot_pct,-2.117828946053557e-05,0.000248250394164619,12
HGB,is_director,-9.906934891544261e-05,2.0018637361705725e-05,13
HGB,days_since_last_buy_any,-0.00011562778838083155,0.00017049522461352767,14
HGB,days_remaining_in_10d_cycle,-0.0002750886849238909,0.0001281424445434661,15
HGB,prior_10d_pct,-0.0003114596052961438,0.00026491133943118184,16
HGB,officer_type_enc,-0.0003652367776751875,0.0002835331781310622,17
HGB,prior_5d_pct,-0.000367231492412895,0.0005635475303961226,18
HGB,market_type_enc,-0.00037325025475982434,0.00017372243285476528,19
HGB,same_ticker_insider_count_365d,-0.00038462333441576234,0.0003319050306837515,20
HGB,log_value_usd,-0.00047920314667916907,0.0001828513107007697,21
HGB,filing_gap_days,-0.0005424163168413875,0.00020201305722667792,22
HGB,prior_30d_pct,-0.000549085335670331,0.000607303301782768,23
HGB,price_drift_filing_pct,-0.0009219047124911339,0.0002245928742589536,24
HGB,filing_hour_et,-0.00158405577388271,0.00045156984160683975,25
HGB,prior_10d_vol,-0.0022852843954019016,0.0010372417648161468,26
HGB,log_buy_price,-0.0027396794682177455,0.0009508220909547495,27
HGB,max_intraday_runup_so_far_pct,-0.003368378006396827,0.0012076491563053212,28
HGB,prior_5d_vol,-0.0038912001189503665,0.0011543565759417117,29
HGB,prior_30d_vol,-0.003913217123603242,0.0011409365863589637,30
XGBoost,prior_30d_vol,0.002047165483236313,0.0004701640492876823,1
XGBoost,prior_10d_vol,0.0014484785497188568,0.0004065959786882715,2
XGBoost,max_intraday_runup_so_far_pct,0.0011191844940185546,0.00017710706204446754,3
XGBoost,log_buy_price,0.0008492834866046905,7.768897506137048e-05,4
XGBoost,prior_30d_pct,0.0008058272302150727,0.0002311470611629579,5
XGBoost,prior_5d_pct,0.0002758704125881195,5.590926396088266e-05,6
XGBoost,snapshot_day_idx,0.0001634746789932251,6.018339585815292e-05,7
XGBoost,sector_enc,0.00012129694223403931,2.54456567918214e-05,8
XGBoost,same_ticker_insider_count_365d,9.621232748031616e-05,1.7773105761665966e-05,9
XGBoost,insider_prior_buys_log,3.2466650009155276e-05,1.4308169817597175e-05,10
XGBoost,days_since_last_buy_any,2.9199570417404174e-05,8.704092241042593e-06,11
XGBoost,prior_10d_pct,2.8415024280548097e-05,3.1704881227378775e-05,12
XGBoost,prior_5d_vol,2.705901861190796e-05,1.814941552852714e-06,13
XGBoost,officer_type_enc,2.1888315677642824e-05,3.4051861889383915e-05,14
XGBoost,filing_gap_days,1.1651962995529175e-05,7.573020356299923e-05,15
XGBoost,price_drift_filing_pct,9.69022512435913e-06,7.20582523989811e-06,16
XGBoost,return_since_first_snapshot_pct,2.871453762054443e-06,7.507523848496935e-07,17
XGBoost,days_since_last_buy_same_ticker,0.0,0.0,18
XGBoost,is_10pct,0.0,0.0,19
XGBoost,is_director,0.0,0.0,20
XGBoost,is_officer,0.0,0.0,21
XGBoost,n_insiders_in_cluster,0.0,0.0,22
XGBoost,n_insiders_x_10pct,0.0,0.0,23
XGBoost,n_insiders_x_director,0.0,0.0,24
XGBoost,n_insiders_x_officer,0.0,0.0,25
XGBoost,snapshot_is_open,0.0,0.0,26
XGBoost,days_remaining_in_10d_cycle,-9.064376354217529e-06,8.074325678716105e-06,27
XGBoost,market_type_enc,-1.372024416923523e-05,2.7980159201419385e-06,28
XGBoost,filing_hour_et,-6.943047046661376e-05,4.03551079564152e-05,29
XGBoost,log_value_usd,-7.050409913063049e-05,3.946434389663924e-05,30
ElasticNet,prior_30d_vol,0.003690093096168,0.0008900705812654547,1
ElasticNet,log_buy_price,0.0008283432386827757,0.00038923380652403663,2
ElasticNet,prior_30d_pct,0.00029839624226860734,0.00019532927531659762,3
ElasticNet,prior_10d_pct,0.00022061219646520442,6.338423333220263e-05,4
ElasticNet,days_remaining_in_10d_cycle,0.00011611020782429926,0.00012997557517245104,5
ElasticNet,snapshot_day_idx,0.00011611020782429926,0.00012997557517245104,6
ElasticNet,prior_5d_pct,6.0283892524692904e-05,2.312208339311224e-05,7
ElasticNet,officer_type_enc,1.0941818704483797e-05,4.41314251956296e-06,8
