split,model,rows,positives,base_rate,pr_auc,roc_auc,brier,top_decile_hit_rate,lift_vs_base_rate
test,ElasticNet,1201,82,0.06827643630308076,0.31480148008989817,0.8522635628501058,0.05589874899686406,0.3416666666666667,5.004166666666666
test,HGB,1201,82,0.06827643630308076,0.2632836236629437,0.825998822990911,0.0638463351345623,0.30833333333333335,4.515955284552846
test,SplineElasticNet,1201,82,0.06827643630308076,0.3563758333428613,0.8444277338215741,0.05388774023964377,0.325,4.760060975609757
test,XGBoost,1201,82,0.06827643630308076,0.34552730228654865,0.8368371150199438,0.0567091865780684,0.35,5.126219512195122
test,ensemble_calibrated,1201,82,0.06827643630308076,0.3112598468414013,0.8456156411430065,0.057133045755107026,0.3333333333333333,4.882113821138211
test,ensemble_raw,1201,82,0.06827643630308076,0.3112598468414013,0.8456156411430065,0.05458168513322463,0.3333333333333333,4.882113821138211
test,global_base_rate,1201,82,0.06827643630308076,0.06827643630308076,0.5,0.0649195426154502,0.1,1.4646341463414636
test,metadata_baseline,1201,82,0.06827643630308076,0.10574387114491433,0.5730998931973234,0.06347055805388258,0.11666666666666667,1.708739837398374
validation,ElasticNet,1449,106,0.07315389924085576,0.20836875757031023,0.7526025934615546,0.06526410894664435,0.2222222222222222,3.0377358490566038
validation,HGB,1449,106,0.07315389924085576,0.2156575718708264,0.7498981441155398,0.07891319022112328,0.22916666666666666,3.1326650943396226
validation,SplineElasticNet,1449,106,0.07315389924085576,0.22691985406381232,0.7494555978589191,0.06558153091813723,0.22916666666666666,3.1326650943396226
validation,XGBoost,1449,106,0.07315389924085576,0.19112590768626764,0.7441485550513494,0.06422167074915813,0.25,3.4174528301886795
validation,ensemble_calibrated,1449,106,0.07315389924085576,0.21715447587385023,0.762373733825988,0.06432642244320384,0.2569444444444444,3.512382075471698
validation,ensemble_raw,1449,106,0.07315389924085576,0.21715447587385023,0.762373733825988,0.06476726733918267,0.2569444444444444,3.512382075471698
validation,global_base_rate,1449,106,0.07315389924085576,0.07315389924085576,0.5,0.06877860935649532,0.1111111111111111,1.5188679245283019
validation,metadata_baseline,1449,106,0.07315389924085576,0.0825176778386027,0.4705215021284367,0.07125064536306148,0.09722222222222222,1.3290094339622642
